word,freq
-,28809
/,22197
for,16066
",",15359
),11343
(,11148
[,8427
],8173
bag,6928
g,6485
with,6295
women,6191
|,5791
hair,5114
and,5107
's,4848
set,4247
case,4214
mm,4125
1,4080
baby,4058
cover,4040
3,3998
anti,3930
kids,3912
&,3822
storage,3797
box,3705
2,3698
gift,3618
accessories,3369
mask,3355
men,3329
new,3262
holder,3250
cute,3202
soft,3202
mini,3111
pro,3072
diy,3025
cotton,3012
x,2955
color,2912
cartoon,2894
children,2861
of,2773
fashion,2753
kitchen,2725
4,2724
in,2682
waterproof,2682
phone,2667
5,2625
light,2605
home,2588
portable,2535
high,2529
korean,2494
cm,2462
water,2406
usb,2341
socks,2320
silicone,2312
plus,2250
black,2231
car,2169
6,2156
cable,2144
party,2127
free,2122
card,2101
food,2038
12,2006
steel,1992
led,1985
clip,1983
size,1967
long,1960
decoration,1952
pack,1949
cat,1932
to,1919
white,1908
bottle,1905
small,1897
10,1880
toy,1876
stickers,1871
wall,1855
plastic,1851
sticker,1832
8,1830
sg,1811
birthday,1805
travel,1801
+,1792
stock,1782
max,1771
toys,1763
non,1744
glass,1744
bundle,1744
protector,1737
cream,1721
transparent,1707
face,1694
style,1693
rack,1675
pants,1667
oil,1665
m,1663
iphone,1653
stainless,1642
100,1641
brush,1640
t,1638
girls,1636
pen,1635
paper,1600
jewelry,1592
shirt,1581
sports,1570
short,1570
nail,1561
gel,1548
c,1540
large,1525
cup,1523
flower,1523
air,1522
【,1516
*,1515
casual,1509
7,1505
cleaning,1481
slip,1472
ring,1466
sleeve,1464
hand,1455
%,1451
pcs,1438
organizer,1418
skin,1407
summer,1401
ready,1399
pad,1387
strap,1377
the,1371
bathroom,1371
shoes,1360
clothes,1356
ultra,1352
multi,1349
series,1335
tool,1316
table,1313
adhesive,1304
tea,1299
stand,1275
simple,1269
round,1266
care,1262
premium,1258
wireless,1255
.,1255
christmas,1253
underwear,1249
double,1232
watch,1230
disposable,1219
outdoor,1218
solid,1209
metal,1197
adjustable,1197
hook,1194
makeup,1191
shoe,1182
natural,1178
mat,1178
11,1177
pet,1175
dog,1170
gold,1168
breathable,1168
top,1165
!,1163
creative,1159
girl,1157
bra,1155
up,1143
super,1142
clear,1142
bags,1128
type,1126
office,1117
stick,1116
quality,1112
tape,1109
body,1106
cleaner,1100
screen,1096
towel,1094
kg,1093
self,1092
samsung,1091
supplies,1080
no,1079
band,1069
20,1061
3d,1059
13,1053
eye,1048
fast,1033
protection,1032
waist,1031
:,1028
🇸,1024
wedding,1021
🇬,1019
leather,1015
charging,1008
door,1007
elastic,1003
powder,998
back,990
foldable,985
milk,985
red,977
spray,975
full,972
coffee,957
protective,954
15,954
hot,951
chain,951
decor,947
ball,945
original,942
magnetic,942
ice,940
art,939
head,939
bracelet,935
tools,932
hanging,928
neck,928
day,924
mobile,923
ear,919
cloth,905
gifts,900
all,895
keychain,891
universal,885
14,882
shorts,878
thin,878
bicycle,871
year,870
loose,868
earrings,863
dry,863
lamp,859
wash,852
cake,852
school,851
on,848
pencil,844
student,839
toilet,837
50,836
smart,835
adult,830
30,828
buckle,824
film,822
floor,822
liquid,819
bike,816
colors,814
stationery,813
handle,807
pendant,806
female,800
reusable,798
pouch,798
acrylic,797
power,793
household,791
charger,789
blue,788
cabinet,787
fan,779
1pc,778
kit,776
cushion,771
silk,770
design,769
candy,769
pillow,767
rope,767
rubber,767
one,764
shampoo,758
chair,757
galaxy,757
adapter,757
key,752
dress,752
40,750
fresh,749
korea,748
quick,747
compatible,745
boys,745
matte,737
shower,736
10pcs,736
japanese,735
crystal,729
colorful,729
sponge,727
24,726
9,724
a,724
beauty,723
big,722
green,722
foam,721
proof,720
beads,718
halal,709
electric,707
filter,706
plain,706
silver,704
control,704
xs,703
apple,699
gb,697
camera,695
pure,693
laptop,693
ins,691
safety,691
"""",685
bath,685
glasses,685
cap,684
unisex,679
16,678
magic,676
slim,675
uv,672
inch,671
dust,670
plant,669
support,668
book,668
necklace,665
sexy,657
facial,657
bluetooth,656
japan,650
game,650
animal,649
instant,648
hanger,643
room,642
fish,641
seamless,639
xr,637
square,636
by,635
tempered,634
panties,634
mesh,633
local,633
from,632
container,632
refill,628
ladies,626
balloon,616
pot,616
single,615
remover,615
plug,612
sport,612
fabric,605
display,604
seller,603
patch,600
fruit,600
lip,600
thick,600
rice,599
wooden,597
wire,594
handmade,594
laundry,593
night,592
belt,592
strong,589
board,588
2pcs,588
folding,586
glue,586
wet,585
plush,582
bed,580
lace,578
wipes,577
piece,577
i,577
pc,577
