feature_method,title_name,label_name,data_size,vocab_size,accuracy,train_time
CountVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.8631457725166716,357.2743480205536
CountVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.8630386459198157,359.6862258911133
CountVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.8635742789040949,355.76642298698425
CountVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.863520715605667,350.05351281166077
CountVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.863520715605667,348.76457381248474
TfidfVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.8833391360239964,459.8537628650665
TfidfVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.8832320094271405,444.8862581253052
TfidfVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.8833123543747824,435.1265516281128
TfidfVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.8832855727255684,432.0577850341797
TfidfVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.8832855727255684,434.567259311676
