feature_method,title_name,label_name,data_size,vocab_size,accuracy,train_time
CountVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.8221698492193149,0.7059237957000732
CountVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.8226251372559522,0.6391589641571045
CountVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.8230268619941616,0.6318981647491455
CountVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.8230268619941616,0.6226439476013184
CountVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.8230268619941616,0.6143510341644287
TfidfVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.6975816170759795,0.6288180351257324
TfidfVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.6982511583063286,0.6209621429443359
TfidfVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.700527598489515,0.6244649887084961
TfidfVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.700527598489515,0.6123299598693848
TfidfVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.700527598489515,0.619434118270874
