feature_method,title_name,label_name,data_size,vocab_size,accuracy,train_time
CountVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.7861753126757546,19.937915802001953
CountVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.7862824392726104,20.375031232833862
CountVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.7844880687752752,20.175286054611206
CountVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.7844880687752752,19.889633178710938
CountVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.7844077238276334,20.301181316375732
TfidfVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.7829615147700796,90.15460872650146
TfidfVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.7820777203460189,90.73323893547058
TfidfVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.7825865716810841,90.46219205856323
TfidfVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.7825597900318702,90.98755812644958
TfidfVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.7834168028067169,90.26617765426636
