Epoch 250, Train Loss: 0.0887, Test Loss: 3.3909, Test Acc: 0.6382
Epoch 251, Train Loss: 0.0888, Test Loss: 3.3906, Test Acc: 0.6379
Epoch 252, Train Loss: 0.0889, Test Loss: 3.4076, Test Acc: 0.6353
Epoch 253, Train Loss: 0.0885, Test Loss: 3.4142, Test Acc: 0.6374
Epoch 254, Train Loss: 0.0888, Test Loss: 3.4102, Test Acc: 0.6340
Epoch 255, Train Loss: 0.0887, Test Loss: 3.4173, Test Acc: 0.6382
Epoch 256, Train Loss: 0.0887, Test Loss: 3.4138, Test Acc: 0.6374
Epoch 257, Train Loss: 0.0887, Test Loss: 3.4283, Test Acc: 0.6347
Epoch 258, Train Loss: 0.0886, Test Loss: 3.4287, Test Acc: 0.6385
Epoch 259, Train Loss: 0.0887, Test Loss: 3.4448, Test Acc: 0.6321
Epoch 260, Train Loss: 0.0887, Test Loss: 3.4455, Test Acc: 0.6374
Epoch 261, Train Loss: 0.0887, Test Loss: 3.4494, Test Acc: 0.6361
Epoch 262, Train Loss: 0.0886, Test Loss: 3.4453, Test Acc: 0.6369
Epoch 263, Train Loss: 0.0887, Test Loss: 3.4601, Test Acc: 0.6395
Epoch 264, Train Loss: 0.0887, Test Loss: 3.4673, Test Acc: 0.6366
Epoch 265, Train Loss: 0.0889, Test Loss: 3.4752, Test Acc: 0.6329
Epoch 266, Train Loss: 0.0886, Test Loss: 3.4875, Test Acc: 0.6355
Epoch 267, Train Loss: 0.0887, Test Loss: 3.4799, Test Acc: 0.6342
Epoch 268, Train Loss: 0.0885, Test Loss: 3.4984, Test Acc: 0.6369
Epoch 269, Train Loss: 0.0884, Test Loss: 3.5102, Test Acc: 0.6345
Epoch 270, Train Loss: 0.0886, Test Loss: 3.5290, Test Acc: 0.6305
Epoch 271, Train Loss: 0.0884, Test Loss: 3.5160, Test Acc: 0.6329
Epoch 272, Train Loss: 0.0884, Test Loss: 3.5360, Test Acc: 0.6318
Epoch 273, Train Loss: 0.0886, Test Loss: 3.5409, Test Acc: 0.6332
Epoch 274, Train Loss: 0.0884, Test Loss: 3.5467, Test Acc: 0.6321
Epoch 275, Train Loss: 0.0887, Test Loss: 3.5559, Test Acc: 0.6310
Epoch 276, Train Loss: 0.0887, Test Loss: 3.5689, Test Acc: 0.6316
Epoch 277, Train Loss: 0.0885, Test Loss: 3.5752, Test Acc: 0.6318
Epoch 278, Train Loss: 0.0885, Test Loss: 3.5789, Test Acc: 0.6324
Epoch 279, Train Loss: 0.0884, Test Loss: 3.6070, Test Acc: 0.6289
Epoch 280, Train Loss: 0.0884, Test Loss: 3.6131, Test Acc: 0.6310
Epoch 281, Train Loss: 0.0888, Test Loss: 3.6189, Test Acc: 0.6337
Epoch 282, Train Loss: 0.0884, Test Loss: 3.6645, Test Acc: 0.6305
Epoch 283, Train Loss: 0.0888, Test Loss: 3.7151, Test Acc: 0.6276
Epoch 284, Train Loss: 0.0892, Test Loss: 3.6457, Test Acc: 0.6310
Epoch 285, Train Loss: 0.0886, Test Loss: 3.6510, Test Acc: 0.6305
Epoch 286, Train Loss: 0.0884, Test Loss: 3.6538, Test Acc: 0.6297
Epoch 287, Train Loss: 0.0883, Test Loss: 3.6694, Test Acc: 0.6286
Epoch 288, Train Loss: 0.0882, Test Loss: 3.6813, Test Acc: 0.6289
Epoch 289, Train Loss: 0.0882, Test Loss: 3.6830, Test Acc: 0.6316
Epoch 290, Train Loss: 0.0885, Test Loss: 3.6928, Test Acc: 0.6332
Epoch 291, Train Loss: 0.0882, Test Loss: 3.7212, Test Acc: 0.6316
Epoch 292, Train Loss: 0.0884, Test Loss: 3.7195, Test Acc: 0.6310
Epoch 293, Train Loss: 0.0884, Test Loss: 3.7342, Test Acc: 0.6305
Epoch 294, Train Loss: 0.0883, Test Loss: 3.7489, Test Acc: 0.6308
Epoch 295, Train Loss: 0.0884, Test Loss: 3.7572, Test Acc: 0.6302
Epoch 296, Train Loss: 0.0883, Test Loss: 3.7618, Test Acc: 0.6318
Epoch 297, Train Loss: 0.0883, Test Loss: 3.7784, Test Acc: 0.6281
Epoch 298, Train Loss: 0.0883, Test Loss: 3.7910, Test Acc: 0.6300
Epoch 299, Train Loss: 0.0884, Test Loss: 3.7957, Test Acc: 0.6279
Epoch 300, Train Loss: 0.0883, Test Loss: 3.8090, Test Acc: 0.6308
Accuracy: 63.08%
