Epoch 254, Train Loss: 0.0957, Test Loss: 6.2442, Test Acc: 0.6050
Epoch 255, Train Loss: 0.1286, Test Loss: 6.0549, Test Acc: 0.6178
Epoch 256, Train Loss: 0.0922, Test Loss: 5.9868, Test Acc: 0.6156
Epoch 257, Train Loss: 0.0892, Test Loss: 5.9842, Test Acc: 0.6180
Epoch 258, Train Loss: 0.0896, Test Loss: 6.0083, Test Acc: 0.6172
Epoch 259, Train Loss: 0.0895, Test Loss: 6.0289, Test Acc: 0.6178
Epoch 260, Train Loss: 0.0892, Test Loss: 6.0098, Test Acc: 0.6188
Epoch 261, Train Loss: 0.0891, Test Loss: 6.0357, Test Acc: 0.6210
Epoch 262, Train Loss: 0.0894, Test Loss: 6.0551, Test Acc: 0.6196
Epoch 263, Train Loss: 0.0893, Test Loss: 6.0614, Test Acc: 0.6188
Epoch 264, Train Loss: 0.0894, Test Loss: 6.0491, Test Acc: 0.6207
Epoch 265, Train Loss: 0.0894, Test Loss: 6.0856, Test Acc: 0.6204
Epoch 266, Train Loss: 0.0892, Test Loss: 6.1074, Test Acc: 0.6199
Epoch 267, Train Loss: 0.0893, Test Loss: 6.1394, Test Acc: 0.6183
Epoch 268, Train Loss: 0.0891, Test Loss: 6.1243, Test Acc: 0.6215
Epoch 269, Train Loss: 0.0890, Test Loss: 6.1753, Test Acc: 0.6204
Epoch 270, Train Loss: 0.0890, Test Loss: 6.1931, Test Acc: 0.6204
Epoch 271, Train Loss: 0.0894, Test Loss: 6.2276, Test Acc: 0.6191
Epoch 272, Train Loss: 0.0892, Test Loss: 6.2692, Test Acc: 0.6218
Epoch 273, Train Loss: 0.0895, Test Loss: 6.2972, Test Acc: 0.6207
Epoch 274, Train Loss: 0.0891, Test Loss: 6.2726, Test Acc: 0.6210
Epoch 275, Train Loss: 0.0892, Test Loss: 6.3201, Test Acc: 0.6199
Epoch 276, Train Loss: 0.0891, Test Loss: 6.4059, Test Acc: 0.6175
Epoch 277, Train Loss: 0.0897, Test Loss: 6.4405, Test Acc: 0.6212
Epoch 278, Train Loss: 0.0901, Test Loss: 6.3393, Test Acc: 0.6183
Epoch 279, Train Loss: 0.0895, Test Loss: 6.4435, Test Acc: 0.6178
Epoch 280, Train Loss: 0.0905, Test Loss: 6.5336, Test Acc: 0.6162
Epoch 281, Train Loss: 0.0895, Test Loss: 6.4872, Test Acc: 0.6149
Epoch 282, Train Loss: 0.0897, Test Loss: 6.5664, Test Acc: 0.6167
Epoch 283, Train Loss: 0.0897, Test Loss: 6.6689, Test Acc: 0.6170
Epoch 284, Train Loss: 0.0893, Test Loss: 6.6323, Test Acc: 0.6164
Epoch 285, Train Loss: 0.0960, Test Loss: 6.6879, Test Acc: 0.6066
Epoch 286, Train Loss: 0.1096, Test Loss: 6.6248, Test Acc: 0.6072
Epoch 287, Train Loss: 0.1030, Test Loss: 6.5927, Test Acc: 0.6069
Epoch 288, Train Loss: 0.1275, Test Loss: 6.4290, Test Acc: 0.6172
Epoch 289, Train Loss: 0.0990, Test Loss: 6.4295, Test Acc: 0.6151
Epoch 290, Train Loss: 0.1251, Test Loss: 6.4764, Test Acc: 0.6143
Epoch 291, Train Loss: 0.0998, Test Loss: 6.6178, Test Acc: 0.6122
Epoch 292, Train Loss: 0.1149, Test Loss: 6.4515, Test Acc: 0.6172
Epoch 293, Train Loss: 0.1043, Test Loss: 6.3446, Test Acc: 0.6180
Epoch 294, Train Loss: 0.0954, Test Loss: 6.3318, Test Acc: 0.6194
Epoch 295, Train Loss: 0.0899, Test Loss: 6.3156, Test Acc: 0.6188
Epoch 296, Train Loss: 0.0951, Test Loss: 6.3085, Test Acc: 0.6175
Epoch 297, Train Loss: 0.0936, Test Loss: 6.3232, Test Acc: 0.6191
Epoch 298, Train Loss: 0.0907, Test Loss: 6.3256, Test Acc: 0.6194
Epoch 299, Train Loss: 0.0934, Test Loss: 6.3372, Test Acc: 0.6180
Epoch 300, Train Loss: 0.0904, Test Loss: 6.3597, Test Acc: 0.6199
Accuracy: 61.99%
