"keyword","category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"figuras anime chile","Juguetes y Hobbies","Hobbies & Collections","Hobbies & Collections","Hobbies & Collections"
"bape shark","Ropa de Hombre","Mobile & Gadgets","Men Clothes",
"entradas daddy yankee chile","Hogar y Vida",,,
"calcetines antideslizantes","Deportes y Fitness","Women Clothes","Men Clothes",
"duchas electricas","Hogar y Vida","Toys & Hobbies",,
"adaptador vga a hdmi","Computación","Toys & Hobbies","Computing",
"rifle pcp","Deportes y Fitness",,"Sports & Fitness",
"guantes de arquero","Deportes y Fitness","Sports & Fitness",,
"spy x family manga","Juguetes y Hobbies","Hobbies & Collections","Men Clothes","Men Clothes"
"termos de comida","Hogar y Vida","Home & Living",,
"hervidor electrico","Electrodomésticos","Vehicle Accessories","Home Appliance",
"luces solares","Hogar y Vida",,"Home & Living",
"zapatillas reebok mujer","Calzado de Mujer","Women Shoes","Women Shoes",
"caja plastica","Hogar y Vida","Home & Living","Home & Living",
"entradas coldplay chile","Others",,,
"indor","Hogar y Vida",,"Home & Living",
"almohada cervical","Hogar y Vida","Home & Living","Home & Living",
"descorchador electrico","Hogar y Vida","Food & Beverages","Home & Living","Food & Beverages"
"zapatos de futbol adidas","Deportes y Fitness","Sports & Fitness","Sports & Fitness",
"calzas ecocuero","Ropa de Mujer",,"Women Clothes",
"lonchera electrica","Electrodomésticos","Home & Living","Home & Living",
"piso flotante barato","Hogar y Vida",,,
"lona para toldo","Hogar y Vida","Sports & Fitness",,
"deysa care","Salud",,,
"porta equipaje auto","Accesorios para Vehículos","Travel & Luggage",,
"beyblade","Juguetes y Hobbies","Toys & Hobbies","Toys & Hobbies",
"refrigerador samsung","Electrodomésticos","Home & Living",,
"huawei band 6","Celulares y Gadgets","Mobile & Gadgets",,
"tv box android","Electrónica","Electronics","Electronics","Electronics"
"caja fuerte","Hogar y Vida",,"Home & Living",
"bape shark","Ropa de Hombre","Mobile & Gadgets","Men Clothes",
"cable de red","Computación",,"Computing",
"plumon sherpa","Hogar y Vida","Home & Living","Home & Living","Home & Living"
"termo hervidor","Electrodomésticos","Home & Living","Home & Living",
"laminas para termolaminar","Papelería","Stationery","Stationery","Stationery"
"foco led exterior","Hogar y Vida","Home & Living",,
"titeres","Madre y Bebé","Toys & Hobbies","Toys & Hobbies",
