Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
enchimento de almofada,Casa e Decoração,Home & Living,Home & Living,Home & Living
whisky red label,Others,Food & Beverages,Food & Beverages,Food & Beverages
torneira cozinha,Others,Home & Living,Home & Living,Home & Living
americanasa,Platform Terms (Shopee / Mercado),Women Shoes,Women Shoes,Women Shoes
duosat next uhd,Eletroportáteis,Home Appliances,Computers & Accessories,Computers & Accessories
impressora defiscal,Computadores e Acessórios,,,
mais esperto que o diabo,Others,Books & Magazines,Books & Magazines,Books & Magazines
just dancexbox 360,Jogos e Consoles,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
cobreq,Automóveis,Motorcycles,Motorcycles,Motorcycles
ring light celular,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
jogo de dardos,Brinquedos e Hobbies,Sports & Outdoors,Sports & Outdoors,Mom & Baby
mimeógrafo,Others,Books & Magazines,Hobbies & Collections,Stationery
honda civic 2011,Others,Automobiles,Automobiles,Automobiles
casa de cachorro,Animais Domésticos,Pets,Pets,Pets
scooter eletrica,Brinquedos e Hobbies,Sports & Outdoors,Sports & Outdoors,Automobiles
tomadas e interruptores,Others,Home Appliances,Home Appliances,Home Appliances
cesta de palha,Others,Home & Living,Home & Living,Home & Living
all might,Brinquedos e Hobbies,Hobbies & Collections,Hobbies & Collections,Home & Living
dvd automotivo pioneer,Automóveis,Automobiles,Automobiles,Audio
roupas em atacado,Roupas Femininas,Women Clothes,Women Clothes,Beauty
piscina 3 mil litros,Esportes e Lazer,Mom & Baby,Mom & Baby,Mom & Baby
mini system sony,Computadores e Acessórios,Audio,Audio,Computers & Accessories
hentai,Others,Health,Men Clothes,Hobbies & Collections
cadeira game,Casa e Decoração,Home & Living,Home & Living,Home & Living
carregador acer,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
tv 32 polegadas menor,Eletroportáteis,,,
pingos nos is,Others,Food & Beverages,Home & Living,Automobiles
a31,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
brinquedos para gatos,Brinquedos e Hobbies,Pets,Pets,Pets
vaso sanitario,Casa e Decoração,Home & Living,Home & Living,Home & Living
jogo de malas,Viagens e Bagagens,Travel & Luggage,Travel & Luggage,Books & Magazines
iphone 11 pro 64gb,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bj alex,Brinquedos e Hobbies,Books & Magazines,Books & Magazines,Home & Living
escrivaninhas,Casa e Decoração,Home & Living,Home & Living,Computers & Accessories
lamina oneblade,Beleza,Beauty,Beauty,Beauty
