Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
zapatos de futbol adidas,Deportes y Fitness,,Sports & Outdoors,Sports & Outdoors
porta equipaje auto,Accesorios para Vehículos,,,
refrigerador samsung,Electrodomésticos,Home Appliances,Home Appliances,Home Appliances
foco led exterior,Hogar y Vida,Home & Living,Home & Living,Home & Living
vasos desechables,Hogar y Vida,,Home & Living,
mario bross,Ropa de Hombre,Hobbies & Collections,Hobbies & Collections,Women Shoes
rifle,Deportes y Fitness,Men Clothes,Sports & Outdoors,Fashion Accessories
cuerina,Papelería,Stationery,Stationery,Stationery
zapatillas michelin,Calzado de Hombre,,,
neumáticos,Accesorios para Vehículos,,Automobiles,
cubre piso alfombra,Hogar y Vida,,,
roller cortinas,Hogar y Vida,,,
proyectores,Computación,Home Appliances,Home Appliances,Mobile & Gadgets
escalera telescopica sodimac,Others,,,
liquidación terrazas sodimac,Others,,,
proteina en polvo,Deportes y Fitness,,Health,
entradasvs ecuador,Others,,,
zapatillas de fútbol,Deportes y Fitness,,Sports & Outdoors,
rtx 3050,Computación,,,
bape shark,Ropa de Hombre,Men Clothes,Men Clothes,Men Clothes
calcetines antideslizantes,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
hervidor electrico,Electrodomésticos,,,
kerastase,Belleza,,,
ropa niña,Madre y Bebé,Baby & Kids Fashion,Baby & Kids Fashion,Fashion Accessories
trek,Deportes y Fitness,,,
kerastase,Belleza,,,
saco de box,Deportes y Fitness,Men Clothes,Women Clothes,Women Clothes
zapatillas lippi,Calzado de Mujer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
sauvage dior,Belleza,,,
refrigerador en,Electrodomésticos,Home & Living,Home & Living,Home & Living
perfume,Belleza,,Travel & Luggage,Travel & Luggage
leche nido sin lactosa,Madre y Bebé,,,
pantalón cargo hombre,Ropa de Hombre,,Men Clothes,Men Clothes
audifonos aiwa,Electrónica,,,
boina hombre,Accesorios de Moda,,,
sanzu tokyo revengers,,Fashion Accessories,Home & Living,Men Clothes
