Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
seminar kit,Souvenir & Pesta,Women Bags,Men Bags,Stationery
obat radang,Kesehatan,Health,Health,Health
fast and furious 8 full movie subtitle,Hobi & Koleksi,,,
core i9,Komputer & Aksesoris,Computers & Accessories,Computers & Accessories,Computers & Accessories
bunga matahari,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
jasa bola,Others,Fashion Accessories,Fashion Accessories,Fashion Accessories
mesin cuci lg,Elektronik,Home Appliances,Home Appliances,Home Appliances
gta,Elektronik,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
aglaonema,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
ac samsung 1/2 pk,Elektronik,Home Appliances,Home Appliances,Home Appliances
spanduk hut ri,Souvenir & Pesta,Home & Living,Home & Living,Home & Living
mistik baru,Others,Beauty,Beauty,Beauty
tango,Makanan & Minuman,Food & Beverages,Food & Beverages,Food & Beverages
pizza hut,Makanan & Minuman,Food & Beverages,Food & Beverages,Home & Living
alat penguat sinyal wifi,Komputer & Aksesoris,Computers & Accessories,Computers & Accessories,Computers & Accessories
penumbuh rambut,Perawatan & Kecantikan,Beauty,Beauty,Beauty
yt mp4,Komputer & Aksesoris,Audio,Audio,Audio
niel shoes,Sepatu Wanita,Women Shoes,Women Shoes,Women Shoes
kuteks halal,Perawatan & Kecantikan,Beauty,Beauty,Beauty
macbook air,Komputer & Aksesoris,Computers & Accessories,Computers & Accessories,Computers & Accessories
aglonema dan harganya,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
proxy,Komputer & Aksesoris,Computers & Accessories,Computers & Accessories,Computers & Accessories
nugget kanzler,Makanan & Minuman,Food & Beverages,Food & Beverages,Food & Beverages
meja makan500 ribu,Perlengkapan Rumah,,,
ayam plucker,Hobi & Koleksi,Pets,Food & Beverages,Food & Beverages
nugget kanzler,Makanan & Minuman,Food & Beverages,Food & Beverages,Food & Beverages
toko sepatu futsal,Olahraga & Outdoor,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
obat sakit gigi berlubang,Kesehatan,Health,Health,Health
dermavex,Kesehatan,Health,Health,Beauty
celana cardinal,Pakaian Pria,Men Clothes,Men Clothes,Men Clothes
kue ulangtahun aesthetic,Makanan & Minuman,Home & Living,Home & Living,Home & Living
macam macam kue lebaran,Non-Ecommerce Related,Food & Beverages,Food & Beverages,Food & Beverages
android 12,Handphone & Aksesoris,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
tanda kecakapan khusus,Others,Fashion Accessories,Fashion Accessories,Fashion Accessories
pohon manggis,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
jas pria,Pakaian Pria,Men Clothes,Men Clothes,Men Clothes
lagu untuk perpisahan,Non-Ecommerce Related,,,
caladine cair,Ibu & Bayi,Mom & Baby,Mom & Baby,Mom & Baby
shockbreaker,Otomotif,Motorcycles,Motorcycles,Motorcycles
toko kucing terdekat,Hobi & Koleksi,Pets,Pets,Pets
cleora beauty,Perawatan & Kecantikan,Beauty,Beauty,Beauty
sunscreen pigeon,Perawatan & Kecantikan,Beauty,Beauty,Mom & Baby
pizza hut,Makanan & Minuman,Food & Beverages,Food & Beverages,Home & Living
kaori,Perawatan & Kecantikan,Beauty,Baby & Kids Fashion,Baby & Kids Fashion
gudang garem merah,Makanan & Minuman,Food & Beverages,Women Shoes,Women Shoes
samsung a22 4g,Handphone & Aksesoris,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
mu,Others,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
hoodie,Pakaian Pria,Men Clothes,Men Clothes,Men Clothes
vacuum cleaner,Elektronik,Home Appliances,Home Appliances,Home Appliances
kaos hitam polos,Pakaian Pria,Men Clothes,Men Clothes,Men Clothes
sewa tenda sarnafil di tangerang,Non-Ecommerce Related,,,
cuka apel,Makanan & Minuman,Beauty,Beauty,Beauty
ember,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
iobit,Komputer & Aksesoris,Computers & Accessories,Computers & Accessories,Computers & Accessories
lighting,Perlengkapan Rumah,Cameras & Drones,Cameras & Drones,Cameras & Drones
oven,Elektronik,Home Appliances,Home Appliances,Home Appliances
nonton,Non-Ecommerce Related,Computers & Accessories,Computers & Accessories,Computers & Accessories
