Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
carros,Others,Hobbies & Collections,Hobbies & Collections,Sports & Outdoors
botas para motociclista,Calzado de Hombre,Men Shoes,Men Shoes,Women Shoes
leche nan,Alimentos y Bebidas,Mom & Baby,Health,Health
masajeadores de pies,Hogar y Vida,Health,Health,Home & Living
zapato industrial,Electrónica,Men Shoes,Fashion Accessories,Fashion Accessories
attitude 2018,Others,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
refrigerador chicos,Electrodomésticos,Automobiles,Automobiles,Automobiles
logitech g733,Computación,Audio,Audio,Computers & Accessories
strip chart,Hogar y Vida,,,
mini brands,Juguetes y Hobbies,Mobile & Gadgets,Mom & Baby,Women Clothes
husky sineriano,Mascotas,,,
chun li desnuda,Miscellaneous,,,
s20 ultra,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
metformina natural,Salud,,Beauty,
roku expres,Electrónica,,,
granfin,Others,,,
ropa,Ropa de Mujer,Women Clothes,Women Clothes,Pets
clubwear,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes
dior tenis,Calzado de Mujer,Men Shoes,Sports & Outdoors,Men Shoes
xiaomi mi 11 ultraméxico,Celulares y Gadgets,,,
animales fantasticos libro,Libros y Revistas,Mom & Baby,Pets,Pets
bellafem plenitud,Libros y Revistas,,,
porno salvaje,Others,,,
amarres de amor caseros,Libros y Revistas,,,
lakshmi,Others,,,
motorola e20,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
dm 150,Others,Motorcycles,Home & Living,Home & Living
fix,,,,
intercomunicador para casco,,Motorcycles,Motorcycles,Motorcycles
vestido negro,,Women Clothes,Women Clothes,Men Clothes
doloneurobion,,Health,Health,Health
recamaras modernas,Hogar y Vida,Home & Living,Home & Living,Home & Living
tablets huawei,Celulares y Gadgets,,,
masturbador masculino,Miscellaneous,Health,Health,Health
tipodonto nissin,Salud,Health,Health,Health
sky high maybelline,Belleza,Beauty,Mobile & Gadgets,Mobile & Gadgets
piñalin,Alimentos y Bebidas,Food & Beverages,Food & Beverages,Food & Beverages
coleccionistas de monedas,Others,Hobbies & Collections,Men Clothes,Men Clothes
prius,Others,Automobiles,Automobiles,Hobbies & Collections
mause pad,Computación,Computers & Accessories,Computers & Accessories,Computers & Accessories
patines para niña,Juguetes y Hobbies,Sports & Outdoors,Mom & Baby,Home & Living
ryzen 3 3200g,Computación,Computers & Accessories,Computers & Accessories,Computers & Accessories
playo,Hogar y Vida,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
ultramo,Belleza,Beauty,Beauty,Beauty
pacas de ropa nueva,Others,Mobile & Gadgets,Women Clothes,Women Clothes
tenis champion mujer,Calzado de Mujer,Women Bags,Women Bags,Women Bags
vigas de acero,Others,Home & Living,Home & Living,Home & Living
traje de baño hombre,Ropa de Mujer,Sports & Outdoors,Sports & Outdoors,Watches
estufa solar,Electrodomésticos,Home & Living,Automobiles,Automobiles
echo show,Electrónica,Audio,Audio,Computers & Accessories
vinagre de manzana organico,Salud,Women Bags,Stationery,Stationery
troferit jarabe,Salud,,,
tokyo revengers hentai,Juguetes y Hobbies,,,
vans sailor moon,Calzado de Mujer,Hobbies & Collections,Women Shoes,Women Shoes
tenis jordan retro 1 para mujer,Calzado de Hombre,Men Shoes,Women Shoes,Sports & Outdoors
tubepleasure,Salud,,,
jogger mujer,Ropa de Mujer,Women Clothes,Women Clothes,Women Shoes
bmw s1000rr,,,Hobbies & Collections,Mom & Baby
memorias sd,,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
chevrolet suburban,,Automobiles,Automobiles,Automobiles
concentrador de oxigeno,Others,Home Appliances,Pets,Home & Living
moto e6 plus,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Automobiles
beeg.,Others,,,
hinata,Moda para Bebés y Niños,Hobbies & Collections,Hobbies & Collections,Women Clothes
refacciones para bicicletas,Deportes y Fitness,Fashion Accessories,Fashion Accessories,Fashion Accessories
brincolines,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
celular xiaomi redmi note 9,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
demograss clasico,Salud,Health,Health,Health
cavalier 2018,Others,Sports & Outdoors,Mobile & Gadgets,Mobile & Gadgets
lentes de realidad virtual,Others,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
traje de novia para boda,Ropa de Mujer,Home & Living,Men Clothes,Men Clothes
parabrisas,Accesorios para Vehículos,Automobiles,Motorcycles,Automobiles
monopoly,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Men Shoes
nike mexico,Platform Terms (Mercado/Shopee),Sports & Outdoors,Men Bags,Men Bags
ventilador torre,Electrodomésticos,Computers & Accessories,Home Appliances,Home Appliances
toy chica rule 34,Libros y Revistas,,,
camaras desechables,Electrónica,,Cameras & Drones,Home & Living
amarres,Libros y Revistas,Fashion Accessories,Books & Magazines,Books & Magazines
polaroid,Electrónica,Hobbies & Collections,Cameras & Drones,Hobbies & Collections
hagalo,Hogar y Vida,,,
cargador para smartwatch,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
crema cerave,Belleza,Beauty,Beauty,Men Clothes
samsung s9 plus,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
iphone xr reacondicionado,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
portagarrafon,Hogar y Vida,Home & Living,Home & Living,Home & Living
boba tea,Alimentos y Bebidas,Mom & Baby,Home & Living,Mom & Baby
motoneta honda,Others,Automobiles,Motorcycles,Motorcycles
audifonos marshall,Celulares y Gadgets,Audio,Audio,Audio
mochila escolar,Bolsas de Mujer,Women Bags,Baby & Kids Fashion,Men Bags
samsung buds pro,Celulares y Gadgets,Audio,Audio,Audio
cajita feliz princesas,Juguetes y Hobbies,,,
muebles para cocina,Hogar y Vida,Mom & Baby,Mom & Baby,Home & Living
challenger dodge,,Hobbies & Collections,Automobiles,Automobiles
kipling mochilas,,Women Bags,Women Bags,Women Bags
huawei band 7,,Mobile & Gadgets,Mobile & Gadgets,Audio
iphone 12 pro max reacondicionado,,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
amlito,,Baby & Kids Fashion,Baby & Kids Fashion,Baby & Kids Fashion
xiomi,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
action camera 4k+,Electrónica,,,
recamara matrimonial,Hogar y Vida,,,
boxer,Mascotas,Men Clothes,Men Clothes,Women Clothes
nissan versa 2019,Others,,Automobiles,Automobiles
ventilador de techo,Electrodomésticos,Home & Living,Home Appliances,Stationery
xbox 360usado,Videojuegos,,,
uñas de aceilico,Belleza,,,
refaccionarias auto zone,Accesorios para Vehículos,,,
toyota avanza,Others,Automobiles,Automobiles,Automobiles
patín eléctrico,Juguetes y Hobbies,Sports & Outdoors,Sports & Outdoors,Motorcycles
isopure zero carb,Salud,Health,Health,Food & Beverages
glicolic,Salud,Beauty,Beauty,Beauty
crema cerave,Belleza,Beauty,Beauty,Men Clothes
samsung a13,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
san cipriano oracion,Libros y Revistas,,,
xiaomi poco x3 gt,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
tenis christian louboutin,Calzado de Hombre,Sports & Outdoors,Sports & Outdoors,Men Shoes
pediasure,Salud,Health,Health,Health
motos bajaj,Others,Motorcycles,Motorcycles,Motorcycles
nudist family,Others,,,
espejos,,Home & Living,Home & Living,Beauty
muebles para cocina,,Mom & Baby,Mom & Baby,Home & Living
difusor para cabello,,Beauty,Beauty,Beauty
samsung galaxy tab s6 lite,,Mobile & Gadgets,Mobile & Gadgets,Audio
kimetsu no yaiba libros,,,Hobbies & Collections,Hobbies & Collections
chile chiltepin,Others,Food & Beverages,Food & Beverages,Food & Beverages
vestido xxl,Ropa de Mujer,,,
reloj casio,Joyas y Relojes,Watches,Watches,Watches
teramont,Others,,,
smart for two,Others,,,
meru the succubus,Juguetes y Hobbies,Fashion Accessories,Fashion Accessories,Fashion Accessories
el arte de amar,Libros y Revistas,Mobile & Gadgets,Beauty,Beauty
xxx12,Others,,,
bee cock,Papelería,,,
xbox one series x,Videojuegos,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
redmi note 9 s,Celulares y Gadgets,,Mobile & Gadgets,
concentrador de oxigeno,Others,Home Appliances,Pets,Home & Living
ropa de paca,Ropa de Mujer,Baby & Kids Fashion,Home & Living,Home & Living
dog masaccer,Libros y Revistas,,,
peluche de among us,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Stationery
pato para moto,Juguetes y Hobbies,Motorcycles,Motorcycles,Mobile & Gadgets
voyager 2008,Others,Automobiles,Automobiles,Automobiles
fajas para gym,Ropa de Mujer,Women Clothes,Women Clothes,Mobile & Gadgets
dibujos de bts,Juguetes y Hobbies,,,
traje de baño hombre,Ropa de Hombre,Sports & Outdoors,Sports & Outdoors,Watches
s22 ultra,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
impermeables para motociclista,Accesorios para Vehículos,Fashion Accessories,Men Clothes,Men Clothes
calendariospara imprimir,Papelería,,,
carro a control remoto,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Mobile & Gadgets
luces para bicicleta,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Home & Living
controles de xbox one,Videojuegos,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
cosplay,Moda para Bebés y Niños,Women Clothes,Women Clothes,Women Clothes
zapatos de seguridad,Hogar y Vida,Men Shoes,Men Shoes,Sports & Outdoors
redmi note 9pro,Celulares y Gadgets,,Mobile & Gadgets,
iphone 5 se,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
son como ninos,Others,,,
nexgard,Mascotas,Mobile & Gadgets,Pets,Mobile & Gadgets
hornito de mis pastelitos,Juguetes y Hobbies,Computers & Accessories,Mobile & Gadgets,Mobile & Gadgets
camionetas familiares,Others,,,
chevrolet groove,Others,,Automobiles,
sombrero vaquero,,Fashion Accessories,Fashion Accessories,Home & Living
cobijas,,Home & Living,Home & Living,Travel & Luggage
nuez de la india,,Mobile & Gadgets,Food & Beverages,Fashion Accessories
samsung a13,,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
graneodin b para que sirve,,,,
asadores de carbón,Electrodomésticos,,,
cuatrimotos,Others,Motorcycles,Motorcycles,Motorcycles
chucky muñeco,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Men Clothes
bomba presurizadora,Hogar y Vida,Home Appliances,Men Clothes,Men Clothes
cajero automático,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Computers & Accessories
globos metalicos,Hogar y Vida,Home & Living,Home & Living,Home & Living
maskking gt,Others,Mobile & Gadgets,Sports & Outdoors,Sports & Outdoors
huawei p40,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
del xbox 360,Videojuegos,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
huawei matebook d15,Computación,Computers & Accessories,Women Bags,Mobile & Gadgets
cyberpunk 2077,Videojuegos,Mobile & Gadgets,Sports & Outdoors,Women Clothes
huawei matebook d15,Celulares y Gadgets,Computers & Accessories,Women Bags,Mobile & Gadgets
memoria usb 128 gb,Computación,Computers & Accessories,Computers & Accessories,Computers & Accessories
bicicleta vagabundo,Deportes y Fitness,Mobile & Gadgets,Motorcycles,Motorcycles
incasol donde lo venden,Salud,,,
cuatrimotos,Others,Motorcycles,Motorcycles,Motorcycles
autos minatitlan,Others,,,
zapatos de cocina,Calzado de Hombre,Men Shoes,Men Shoes,Women Shoes
nobara kugisaki,Juguetes y Hobbies,Hobbies & Collections,Baby & Kids Fashion,Mom & Baby
cubre colchon,Hogar y Vida,Motorcycles,Home & Living,Home & Living
mountain dew,Alimentos y Bebidas,Men Clothes,Fashion Accessories,Men Clothes
barcelona heat,Miscellaneous,,,
deshuesadero de autos,Others,,,
detalles para el 10 de mayo,Others,,,
iphone 13 pro max 1tb,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
calpico,Alimentos y Bebidas,Home & Living,Home & Living,Home & Living
smartwatch t500 plus,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Watches
vochos,,Automobiles,Automobiles,Automobiles
autoplaza,Accesorios para Vehículos,,,
sofa cama,Hogar y Vida,Home & Living,Home & Living,Women Bags
concentrador de oxigeno,Others,Home Appliances,Pets,Home & Living
extensiones de cabello,Accesorios de Moda,Fashion Accessories,Fashion Accessories,Fashion Accessories
caja misteriosa,Papelería,Computers & Accessories,Computers & Accessories,Computers & Accessories
bocinas para pc,Computación,Audio,Audio,Beauty
botas de seguridad,Calzado de Hombre,Men Shoes,Men Shoes,Automobiles
autoplaza,Others,,,
tram pararam,Celulares y Gadgets,,,
accesorios para autos,Accesorios para Vehículos,Automobiles,Automobiles,Automobiles
promociones,Others,Watches,Sports & Outdoors,Sports & Outdoors
moto g9power,Celulares y Gadgets,,Mobile & Gadgets,Mobile & Gadgets
guitarra electrica,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Automobiles
moneda de 20 pesos veracruz donde vender,Juguetes y Hobbies,,,
prueba de embarazo positiva real para broma,Juguetes y Hobbies,,,
silla ejecutiva,Hogar y Vida,Home & Living,Home & Living,Women Bags
komi san,Libros y Revistas,Mobile & Gadgets,Mobile & Gadgets,Home & Living
crv 2016,Others,Automobiles,Automobiles,Automobiles
moldes de flores,Hogar y Vida,Home & Living,Home & Living,Home & Living
osos de peluche,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
tails,Others,Hobbies & Collections,Health,Hobbies & Collections
mustang 2010,Others,Automobiles,Automobiles,Automobiles
enola holmes,Libros y Revistas,,Women Clothes,Hobbies & Collections
finasteride,Salud,Health,Health,Health
pintura berel,Juguetes y Hobbies,Home & Living,Home & Living,Home & Living
bmw s1000rr,Others,,Hobbies & Collections,Mom & Baby
playeras de compresión,,Men Clothes,Men Clothes,Sports & Outdoors
oni chi chi,,,,
jacobo grinberg libro,,,,
bloqueador con color,Belleza,Home & Living,Travel & Luggage,Beauty
iphone x 64gb,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
pantuflas,Calzado de Mujer,Women Shoes,Women Shoes,Women Shoes
cremas nature,Belleza,Beauty,Hobbies & Collections,Hobbies & Collections
microfono bluetooth,Electrónica,Audio,Audio,Audio
bkunt,Miscellaneous,,,
nexgard,Mascotas,Mobile & Gadgets,Pets,Mobile & Gadgets
segunda mano mexico,Platform Terms (Mercado/Shopee),,,
opresor de resortes,Others,Fashion Accessories,Automobiles,Automobiles
seat ibiza 2013,Others,,,
gol2012,Others,,,
galaxy buds pro,Celulares y Gadgets,Audio,Audio,Audio
gama de colores kuul,Belleza,,,
ford edge 2013,Others,,,
chamarras mk mujer,Ropa de Mujer,Fashion Accessories,Fashion Accessories,Fashion Accessories
acido hialuronico,Belleza,Beauty,Beauty,Beauty
s22 ultra,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
lavadora samsung,Electrodomésticos,,Home Appliances,
draculaura,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
transportadoras para perros,Mascotas,Pets,Pets,Pets
proof bts,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Watches
thinner,Hogar y Vida,Baby & Kids Fashion,Women Clothes,Women Clothes
portones,Others,,,
sanitizante en spray,Salud,,,
compresor de aire,Hogar y Vida,Home & Living,Hobbies & Collections,Automobiles
acuarelas,Papelería,Stationery,Stationery,Stationery
maquina de coser singer,Electrodomésticos,Home Appliances,Home Appliances,Home & Living
bridgerton libros,Libros y Revistas,,,
legends marvel,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
cuyos,Mascotas,Men Clothes,Pets,Hobbies & Collections
sillon del amor,Hogar y Vida,Fashion Accessories,Fashion Accessories,Fashion Accessories
telescopios,Electrónica,Sports & Outdoors,Sports & Outdoors,Cameras & Drones
victoria secret,Belleza,Women Clothes,Women Clothes,Women Clothes
pulpo reversible,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
jetta 2010,Others,,,
kínder delice,Alimentos y Bebidas,Food & Beverages,Food & Beverages,Food & Beverages
lector qr,Miscellaneous,,,
mesa de trabajo,Hogar y Vida,Home & Living,Home & Living,Computers & Accessories
apple watch se,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
iphone 7 usado,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Fashion Accessories
venta de conejos,Others,,,
tenis jorda,Calzado de Mujer,,,
fenogreco pastillas,Belleza,Fashion Accessories,Fashion Accessories,Fashion Accessories
sal de uvas,Salud,Beauty,Health,Health
congelador para paletas,Others,Home & Living,Beauty,Beauty
vivioptal,Salud,Health,Health,Health
de la onza de plata,Juguetes y Hobbies,,,
galaxy a02s,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
wc,Hogar y Vida,Home & Living,Home & Living,Watches
