Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
jbl,Mobile & Gadgets,Audio,Audio,Audio
focallure,Health & Beauty,Beauty,Beauty,Beauty
unifi payment,Tickets & Vouchers,Computers & Accessories,Computers & Accessories,Computers & Accessories
marble wallpaper,Home & Living,Home & Living,Home & Living,Home & Living
hada labo toner,Health & Beauty,Beauty,Beauty,Beauty
spatula,Home & Living,Home & Living,Home & Living,Home & Living
seng heng,Home & Living,Food & Beverages,Fashion Accessories,Fashion Accessories
chinese calendar,Home & Living,Stationery,Stationery,Home & Living
xpax pantai timur,Others,,,
seluar puma,Men's Clothing,Men Clothes,Men Clothes,Men Clothes
basikal exercise,Sports & Outdoor,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
roller blade,Sports & Outdoor,Sports & Outdoors,Sports & Outdoors,Mom & Baby
pgmall,Health & Beauty,Hobbies & Collections,Home & Living,Hobbies & Collections
ipad pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
lactogen langkah 1,Baby & Toys,Mom & Baby,Mom & Baby,Mom & Baby
capcut,Computer & Accessories,Computers & Accessories,Computers & Accessories,Computers & Accessories
apple pencil 2,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
small rice cooker,Home Appliances,Home Appliances,Home Appliances,Home Appliances
bio oil,Health & Beauty,Beauty,Beauty,Beauty
vacume bags,Travel & Luggage,Travel & Luggage,Travel & Luggage,Home & Living
java fit folding bike,Sports & Outdoor,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
agent topup,Tickets & Vouchers,"Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
reclining wheelchairs,Health & Beauty,Health,Health,Health
bbox aladdin pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Home Appliances
bezza modified,Automotive,Automobiles,Automobiles,Automobiles
午餐 肉,Groceries & Pets,,,
newgene covid test,Health & Beauty,Health,Health,Health
4 anime,"Games, Books & Hobbies",Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
moddify,Computer & Accessories,,,
planet lagu,"Games, Books & Hobbies",,,
f.timber,Women's Bags,Women Bags,Women Bags,Women Bags
