Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
tarpaulin,Home & Living,Home & Living,Home & Living,Home & Living
jbl,Mobiles & Gadgets,Audio,Audio,Audio
ballons,Home & Living,Home & Living,Home & Living,Home & Living
heng de face shield,Health & Personal Care,Health,Fashion Accessories,Fashion Accessories
nopeet face shield,Health & Personal Care,Health,Health,Home & Living
ichiran instant ramen,Groceries,Food & Beverages,Food & Beverages,Food & Beverages
ubuyreview,Men's Shoes,,,
kimstore,Mobiles & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
ink for epson l3110,Laptops & Computers,Computers & Accessories,Computers & Accessories,Computers & Accessories
shantahl,Health & Personal Care,Beauty,Beauty,Beauty
korean mask,Health & Personal Care,Health,Health,Health
lingerie top,Women's Apparel,Women Clothes,Women Clothes,Women Clothes
face shield acrylic,Health & Personal Care,Health,Health,Health
hpstore,Laptops & Computers,Computers & Accessories,Computers & Accessories,Computers & Accessories
krisp noise cancelling,Digital Goods & Vouchers,Computers & Accessories,Computers & Accessories,Computers & Accessories
powerbooks,Hobbies & Stationery,Books & Magazines,Books & Magazines,Audio
lactezin,Health & Personal Care,Beauty,Health,Health
sliding window,Home & Living,Home & Living,Home & Living,Home & Living
w ii,Health & Personal Care,Beauty,Beauty,Beauty
nike precision 4,Men's Shoes,Sports & Outdoors,Sports & Outdoors,Men Shoes
tie dye shirt,Women's Apparel,Men Clothes,Men Clothes,Men Clothes
yoga ran,Sports & Travel,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
marutai ramen,Groceries,Food & Beverages,Food & Beverages,Food & Beverages
all homes furniture,Home & Living,Home & Living,Home & Living,Home & Living
oppo a5s lcd,Mobile Accessories,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
pen pilot,Hobbies & Stationery,Stationery,Stationery,Stationery
120hz monitor,Laptops & Computers,Computers & Accessories,Computers & Accessories,Computers & Accessories
jesus wallpaper,Hobbies & Stationery,Home & Living,Home & Living,Home & Living
ipad pro,Mobiles & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
otg,Laptops & Computers,Computers & Accessories,Computers & Accessories,Computers & Accessories
godzilla vs kong toys,"Toys, Games & Collectibles",Hobbies & Collections,Mom & Baby,Mom & Baby
smocked dress,Women's Apparel,Women Clothes,Women Clothes,Women Clothes
vivi y15,Mobiles & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bonamil 6 12 months,Babies & Kids,Mom & Baby,Mom & Baby,Food & Beverages
oppo a9,Mobiles & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
cleaning cr,Home & Living,Home & Living,Home & Living,Home & Living
baybayin tattoo,Hobbies & Stationery,Fashion Accessories,Fashion Accessories,Fashion Accessories
y20s,Mobiles & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
4 anime,Hobbies & Stationery,Hobbies & Collections,Women Shoes,Women Shoes
insulin coffee,Groceries,Food & Beverages,Food & Beverages,Food & Beverages
lzd.co newleadtime,Platform Keywords (Shopee/Lazada),,,
epson l120,Laptops & Computers,Computers & Accessories,Computers & Accessories,Computers & Accessories
