Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
asus zenfone 6,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Computers & Accessories
prism+ x340,Computers & Peripherals,,Computers & Accessories,
jokes,Lifestyle,Hobbies & Collections,Books & Magazines,Books & Magazines
ogawa,Health & Wellness,Health,Health,Health
electronic dart board,Hobbies & Books,Sports & Outdoors,Mom & Baby,Mom & Baby
animal crossing new horizons,Video Games,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
baby walker,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Mom & Baby
yoga mat,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
my greatest child,"Toys, Kids & Babies",Books & Magazines,Books & Magazines,Home & Living
osaka owl,Women's Bags,Men Bags,Men Bags,Health
window film,Home & Living,Home & Living,Home & Living,Home & Living
宝肤灵,Beauty & Personal Care,Health,Beauty,Home & Living
succulents,Home & Living,Home & Living,Home & Living,Home & Living
light strip,Home & Living,Home & Living,Home & Living,Home & Living
dog bed,Pet Food & Supplies,Pets,Pets,Pets
roller skates,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
jnt,Platform Terms (Lazada / Shopee),Men Clothes,Men Clothes,Health
travelling bags,Travel & Luggage,Travel & Luggage,Travel & Luggage,Beauty
mmanime,Others,,,
visions cookware,Home & Living,Home & Living,Home & Living,Home & Living
pork jowl,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
hangten,Men's Wear,Men Clothes,Women Clothes,Women Clothes
plastic shoe cabinet,Home & Living,Home & Living,Home & Living,Home & Living
jansport backpack,Women's Bags,Women Bags,Men Bags,Men Bags
iphone 13 cases,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
innsfree,Beauty & Personal Care,Beauty,Beauty,Beauty
li chun,Lifestyle,Home & Living,Home & Living,Home & Living
sound proof room,Home & Living,Home & Living,Home & Living,Hobbies & Collections
ceiling fan,Home Appliances,Home Appliances,Home Appliances,Home Appliances
stool wooden,Home & Living,Home & Living,Home & Living,Sports & Outdoors
mattress orthopedic,Home & Living,Home & Living,Home & Living,Home & Living
lanyard for phone,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Women Bags
wall mount for monitor,Home Appliances,Home Appliances,Home Appliances,Mobile & Gadgets
carpet round,Home & Living,Home & Living,Home & Living,Home & Living
camping stoves,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
tablemate,Home & Living,Computers & Accessories,Computers & Accessories,Computers & Accessories
cif cleaner,Home & Living,Home & Living,Home & Living,Home & Living
toilet light,Home & Living,Home & Living,Home & Living,Home & Living
rubber washers,Home & Living,,Home & Living,Home & Living
number pad keyboard,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
matte screen protector,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
gazebo,Sports & Outdoors,Sports & Outdoors,Home & Living,Home & Living
slingbag,Women's Bags,Women Bags,Men Bags,Women Bags
sandisk,Computers & Peripherals,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
gochujang halal,Food & Beverages,Food & Beverages,Food & Beverages,Beauty
fastwheel,Sports & Outdoors,Hobbies & Collections,Automobiles,Automobiles
65watches,Watches,Watches,Watches,Watches
pest stop,Home & Living,Home & Living,Home & Living,Health
window film,Home & Living,Home & Living,Home & Living,Home & Living
skechers shoes,Women's Shoes,Men Shoes,Men Shoes,Men Shoes
huawei nova 3i,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bed rail,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Mom & Baby
broadlink tc2,Home & Living,Mobile & Gadgets,Home Appliances,Home Appliances
farfalla,Home Appliances,Home Appliances,Home Appliances,Home Appliances
corset,Women's Apparel,Women Clothes,Women Clothes,Women Clothes
李子柒,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
succulents,Home & Living,Home & Living,Home & Living,Home & Living
gazebo,Sports & Outdoors,Sports & Outdoors,Home & Living,Home & Living
小龙坎,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
airpods,Mobile & Gadgets,Audio,Audio,Audio
purtier placenta,Health & Wellness,Health,Health,Home & Living
pannier bag,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
ps5restock,Video Games,,,
dior earrings,Jewellery & Accessories,Fashion Accessories,Fashion Accessories,Fashion Accessories
popular chinese drama,Lifestyle,,,
glass water dispenser,Home & Living,Home Appliances,Home & Living,Home & Living
mini air purifier,Home Appliances,Home Appliances,Home Appliances,Automobiles
round dining table,Home & Living,Home & Living,Home & Living,Home & Living
coffee moccona,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
small ricecooker,Home Appliances,Home Appliances,Home Appliances,Home Appliances
taiwan snacks,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
memory foam mat,Home & Living,Home & Living,Home & Living,Home & Living
toilet mirrors,Home & Living,Home & Living,Home & Living,Home & Living
xiaomi 11t pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
fan light,Home Appliances,Home & Living,Home Appliances,Home Appliances
wheels on shoes,"Toys, Kids & Babies",Sports & Outdoors,Mom & Baby,Mom & Baby
mustafaonline,Platform Terms (Lazada / Shopee),,,
laundry dryer rack,Home & Living,Home & Living,Home Appliances,Home Appliances
juzz4baby,Home & Living,Mom & Baby,Mom & Baby,Mom & Baby
body stocking,Women's Apparel,Women Clothes,Women Clothes,Women Clothes
prospan,Health & Wellness,Health,Health,Health
li chun,,Home & Living,Home & Living,Home & Living
brown sugar,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
bosch,Home Appliances,Home & Living,Home & Living,Home & Living
baby walker,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Mom & Baby
little+tikes,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Mom & Baby
maglite,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Home & Living
ceiling fan,Home Appliances,Home Appliances,Home Appliances,Home Appliances
t.v. antenna,Home Appliances,,,
pixel 3,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
yoga mat,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
gigabyte,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
wall light,Home & Living,Home & Living,Home & Living,Home & Living
surface pro 7,Computers & Peripherals,Mobile & Gadgets,Computers & Accessories,Computers & Accessories
gtx 1650,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
surface pro 7,Computers & Peripherals,Mobile & Gadgets,Computers & Accessories,Computers & Accessories
prism +,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
seahorse sofaprice,Home & Living,,,
tily tea,Food & Beverages,Food & Beverages,Home & Living,Food & Beverages
ufc coconut water,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
selenite tower,Hobbies & Books,Hobbies & Collections,Hobbies & Collections,Home & Living
alo yoga,Sports & Outdoors,Sports & Outdoors,Travel & Luggage,Travel & Luggage
batang fish,Food & Beverages,Food & Beverages,Food & Beverages,Mobile & Gadgets
laminating sheets,Home & Living,Stationery,Stationery,Stationery
women's cargo pants,Women's Apparel,Women Clothes,Men Clothes,Men Clothes
garnia,Beauty & Personal Care,Muslim Fashion,Women Clothes,Women Bags
keycaps,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
brompton folding bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
barbie doll house,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Women Clothes
farewell gift for colleagues,Home & Living,Stationery,Hobbies & Collections,Hobbies & Collections
hokkaido hidaka milk,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
prism x290,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
thumbdrive,Mobile & Gadgets,Computers & Accessories,Computers & Accessories,Computers & Accessories
tea set,Home & Living,Home & Living,Home & Living,Home & Living
check shirt,Men's Wear,Men Clothes,Men Clothes,Baby & Kids Fashion
quiver bag,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
wall mount shelf,Home & Living,Home & Living,Home & Living,Home & Living
thermal cups,Home & Living,Home & Living,Home & Living,Home & Living
multi functional cooker,Home Appliances,Home Appliances,Home Appliances,Home & Living
arfum,Home & Living,Home & Living,Home & Living,Fashion Accessories
animal biscuits,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
japanese home,Home & Living,Home & Living,Home & Living,Home & Living
wood vanish,Home & Living,Home & Living,Home & Living,Home & Living
cutlery holders,Home & Living,Home & Living,Home & Living,Home & Living
chinese variety show,Lifestyle,,,
cotton blanket,Home & Living,Home & Living,Home & Living,Mom & Baby
gazebo,,Sports & Outdoors,Home & Living,Home & Living
fitbit charge 2 strap,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
samsonite black label plutus,Travel & Luggage,Travel & Luggage,Travel & Luggage,Food & Beverages
the green party,Home & Living,Home & Living,Home & Living,Home & Living
samsung a51,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
ladies bracelet,Jewellery & Accessories,Fashion Accessories,Fashion Accessories,Fashion Accessories
twg high tea,Lifestyle,Food & Beverages,Beauty,Beauty
seahorse bed,Home & Living,Home & Living,Home & Living,Home & Living
murphy bed,Home & Living,Home & Living,Home & Living,Home & Living
ps5 controller,Video Games,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
centa enema,Health & Wellness,Health,Health,Health
cardboard box,Home & Living,Stationery,Stationery,Stationery
tencel bed sheets,Home & Living,Home & Living,Home & Living,Home & Living
door handle,Home & Living,Home & Living,Home & Living,Home & Living
scrapbook,Home & Living,Stationery,Hobbies & Collections,Hobbies & Collections
omnimeat,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
unidbox,Home Appliances,Home & Living,Home & Living,Home & Living
c + cup,Women's Apparel,,,
penhaligon's,Beauty & Personal Care,Beauty,Beauty,Beauty
comfortfurniture,Home & Living,Home & Living,Home & Living,Home & Living
takaratomy,"Toys, Kids & Babies",Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
biryhday candle,Home & Living,Home & Living,Home & Living,Home & Living
vests for men,Men's Wear,Men Clothes,Men Clothes,Men Clothes
pixel 6,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
small ceiling fan,Home Appliances,Home & Living,Home & Living,Home & Living
tritan water bottle,Sports & Outdoors,Home & Living,Home & Living,Mom & Baby
transtar travel vtl,"Dining, Travel & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
squid game mask,Hobbies & Books,Home & Living,Fashion Accessories,Sports & Outdoors
925.tv,Jewellery & Accessories,,,
round dining table,Home & Living,Home & Living,Home & Living,Home & Living
bed rail,Home & Living,Mom & Baby,Mom & Baby,Mom & Baby
dyson pure cool,Home Appliances,Home Appliances,Home Appliances,Home Appliances
nico robin cosplay,Women's Apparel,Women Clothes,Women Clothes,Hobbies & Collections
hoekee,Home & Living,Home & Living,Home Appliances,Home & Living
home steamboat,Food & Beverages,Home & Living,Home Appliances,Home Appliances
silver bracelet for men,Jewellery & Accessories,Fashion Accessories,Fashion Accessories,Fashion Accessories
sex girl,Women's Apparel,Health,Health,Health
doubleshot pbt keycaps,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
steamer rack,Home & Living,Home & Living,Home & Living,Home Appliances
laptop stand adjustable,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
koropok,,Food & Beverages,Food & Beverages,Home & Living
valentines day flowers,,,Home & Living,
slingbag,,Women Bags,Men Bags,Women Bags
airpod case,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
sandisk,Computers & Peripherals,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
air bed,Home & Living,Home & Living,Home & Living,Home & Living
kiss drama,Hobbies & Books,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
hooga diffuser,Home & Living,Home & Living,Home & Living,Home & Living
infinito atrix,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
gtx 1080price,Computers & Peripherals,,,
danzen tablets,Health & Wellness,Health,Health,Health
roller skates,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
lunar calendar,Home & Living,Stationery,Stationery,Stationery
sheer curtain,Home & Living,Home & Living,Home & Living,Home & Living
bath and body,Beauty & Personal Care,Beauty,Home & Living,Home & Living
sgbuy,Home & Living,Home Appliances,Fashion Accessories,Fashion Accessories
cargo pants for men,Men's Wear,Men Clothes,Men Clothes,Men Clothes
home cctv,Cameras & Drones,Cameras & Drones,Cameras & Drones,Cameras & Drones
desk organizer,Home & Living,Home & Living,Home & Living,Home & Living
transtar travel vtl,"Dining, Travel & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
mini air fryer,Home Appliances,Home Appliances,Home Appliances,Mobile & Gadgets
hairdryer,Home Appliances,Beauty,Beauty,Home & Living
raboki,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
cotton blanket,Home & Living,Home & Living,Home & Living,Mom & Baby
kipling bags,Women's Bags,Women Bags,Women Bags,Women Bags
curtains sheer,Home & Living,Home & Living,Home & Living,Home & Living
self watering system,Home & Living,Home & Living,Home & Living,Home & Living
toshiba fridges,Home Appliances,Home Appliances,Home Appliances,Home Appliances
999 soap,Beauty & Personal Care,Beauty,Beauty,Beauty
shaves2u,Beauty & Personal Care,Beauty,Beauty,Beauty
shower taps,Home & Living,Home & Living,Home & Living,Home & Living
new era cycles,Sports & Outdoors,Men Clothes,Hobbies & Collections,Hobbies & Collections
audiosg,Mobile & Gadgets,Home Appliances,Mobile & Gadgets,Mobile & Gadgets
x ten for man,Health & Wellness,,,
women porn,,Women Clothes,Health,Health
prospan,,Health,Health,Health
diyovation,Home Appliances,Home & Living,Home Appliances,Home Appliances
lucky store,Home Appliances,Fashion Accessories,Mobile & Gadgets,Mobile & Gadgets
eminent luggage,Travel & Luggage,Travel & Luggage,Travel & Luggage,Women Bags
1tb hard disk,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
yoga mat,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
battery booster,Automotive,Mobile & Gadgets,Sports & Outdoors,Mobile & Gadgets
sperry-top sider,Men's Shoes,,,
pencil case,Home & Living,Stationery,Stationery,Stationery
xiaomi chair,Home & Living,Home & Living,Home & Living,Home & Living
hong kong drama,Hobbies & Books,Hobbies & Collections,Hobbies & Collections,Beauty
keycaps,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
smokeless grill,Home Appliances,Home Appliances,Home & Living,Home Appliances
airpods,Mobile & Gadgets,Audio,Audio,Audio
amazfit,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
sp bb,Beauty & Personal Care,Beauty,Beauty,Beauty
plantar 39,Beauty & Personal Care,Beauty,Beauty,Beauty
loreal infallible foundation powder,Beauty & Personal Care,Beauty,Beauty,Beauty
lige watch,Watches,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
daybed,Sports & Outdoors,Home & Living,Home & Living,Home & Living
smokeless charcoal,Home Appliances,Home & Living,Home & Living,Home Appliances
moon lamp,Home & Living,Home & Living,Home & Living,Home & Living
smokeless grill,Home Appliances,Home Appliances,Home & Living,Home Appliances
brompton bikes,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
macce bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
lunar calendar,Home & Living,Stationery,Stationery,Stationery
florasis,Beauty & Personal Care,Beauty,Beauty,Beauty
hito,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Women Clothes
farewell gift for colleagues,Home & Living,Stationery,Hobbies & Collections,Hobbies & Collections
next time 75,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
ipad mini 6 case,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
tape measure laser,Home & Living,Home & Living,Home & Living,Mobile & Gadgets
typewriter keyboards,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
raining boots,Women's Shoes,Men Shoes,Home & Living,Sports & Outdoors
purtier placenta,Health & Wellness,Health,Health,Home & Living
kick pads,Sports & Outdoors,Sports & Outdoors,Automobiles,Automobiles
s22,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
n30 tank,Pet Food & Supplies,Pets,Pets,Men Clothes
2023-09-09 00:00:00,Platform Terms (Lazada / Shopee),Beauty,Mobile & Gadgets,Mobile & Gadgets
oil sprayer,Home & Living,Home & Living,Home & Living,Home & Living
portable bathtub,Home & Living,Home & Living,Mom & Baby,Home & Living
skin ceutical,Beauty & Personal Care,Beauty,Beauty,Beauty
olens,Beauty & Personal Care,Fashion Accessories,Health,Fashion Accessories
turbo broiler,Home Appliances,Automobiles,Home Appliances,Automobiles
t2 tea,Food & Beverages,Food & Beverages,Food & Beverages,Home & Living
nezuko cosplay,Women's Apparel,Women Clothes,Women Clothes,Fashion Accessories
kessrich,Home & Living,Home Appliances,Home Appliances,Home Appliances
samsung s21singapore,Mobile & Gadgets,,,
outdoor plant rack,Home & Living,Home & Living,Home & Living,Home & Living
raincoats,Home & Living,Sports & Outdoors,Motorcycles,Motorcycles
battery 9v,Mobile & Gadgets,Mobile & Gadgets,Home Appliances,Cameras & Drones
brompton bikesingapore,Sports & Outdoors,,,
locitane,Beauty & Personal Care,Beauty,Beauty,Beauty
kinohitmitsu,Health & Wellness,Health,Health,Health
bare cases,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
skip hip,"Toys, Kids & Babies",Baby & Kids Fashion,Mom & Baby,Mom & Baby
philips filter water,Home Appliances,Home Appliances,Home Appliances,Home Appliances
office chair on,Home & Living,,,
leather backpack,Women's Bags,Women Bags,Men Bags,Women Bags
animal toys,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Mom & Baby
bicycle seat,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
toilet cabinet,Home & Living,Home & Living,Home & Living,Home & Living
philip coffee machine,Home Appliances,Home Appliances,Home Appliances,Home Appliances
ambient lights,Home & Living,Home & Living,Home & Living,Mobile & Gadgets
male masturbator,Health & Wellness,Health,Health,Health
quest protein bar,Sports & Outdoors,Health,Health,Sports & Outdoors
gigabyte,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
starbucks stojo,Travel & Luggage,Home & Living,Home & Living,Home & Living
msi,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Men Bags
kids watches,Watches,Baby & Kids Fashion,Baby & Kids Fashion,Baby & Kids Fashion
gin thye,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
relx,Others,Fashion Accessories,Health,Health
bosch,Home Appliances,Home & Living,Home & Living,Home & Living
xiaomi backpack,Travel & Luggage,Men Bags,Men Bags,Men Bags
clothes pegs,Home & Living,Home & Living,Home & Living,Home & Living
the green party,Home & Living,Home & Living,Home & Living,Home & Living
physicians formula,Beauty & Personal Care,Beauty,Beauty,Beauty
