Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
samsung a10,มือถือและอุปกรณ์เสริม,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
iphone 11,มือถือและอุปกรณ์เสริม,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
แอนแมน,เครื่องเขียน หนังสือ และดนตรี,Home & Living,Hobbies & Collections,Home & Living
ผ้าปูที่นอนสีพื้น,เครื่องใช้ในบ้าน,Home & Living,Home & Living,Home & Living
ตุ๊กแก,Others,Home & Living,Mom & Baby,Mom & Baby
iruma kun,เครื่องเขียน หนังสือ และดนตรี,Hobbies & Collections,Hobbies & Collections,Mom & Baby
ปั้มน้ํามัน,เครื่องใช้ในบ้าน,Motorcycles,Motorcycles,Automobiles
หวานใจนายตัวป่วน,เครื่องเขียน หนังสือ และดนตรี,Books & Magazines,Books & Magazines,Books & Magazines
huawei y9 2019,มือถือและอุปกรณ์เสริม,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
ซี รี่ ย์ จีน,สื่อบันเทิงภายในบ้าน,,,
ร้าน วัสดุ ก่อสร้าง ใกล้ ฉัน,อื่นๆ,,,
นิยาย จีน,เครื่องเขียน หนังสือ และดนตรี,Books & Magazines,Books & Magazines,Books & Magazines
เหล็ก ดัด ฟัน,อาหารเสริมและผลิตภัณฑ์สุขภาพ,Health,Fashion Accessories,Fashion Accessories
ยา เพิ่ม ขนาด,อาหารเสริมและผลิตภัณฑ์สุขภาพ,Health,Health,Health
เลื่อย จิ๊ ก ซอ,เครื่องใช้ในบ้าน,,,
ทรงผมออกงานยอดฮิต,เสื้อผ้าแฟชั่นผู้หญิง,,,
กระจกตั้งพื้น,เครื่องใช้ในบ้าน,Home & Living,Home & Living,Home & Living
เครื่องฟอกอากาศห้อยคอ,เครื่องใช้ไฟฟ้าภายในบ้าน,Home Appliances,Home Appliances,Home Appliances
นอยปกติ,อื่นๆ,Automobiles,Gaming & Consoles,Gaming & Consoles
สี ยาง จัด ฟัน,อื่นๆ,Health,Health,Home & Living
เป๋า ตังค์,กระเป๋า,Women Bags,Women Bags,Women Bags
ต้นหูหนู,เครื่องใช้ในบ้าน,Home & Living,Home & Living,Home & Living
เยลลี่ไข่ดาว,อาหารและเครื่องดื่ม,Food & Beverages,Food & Beverages,Food & Beverages
บอนสีไทยนิยม,เครื่องใช้ในบ้าน,Home & Living,Home & Living,Home & Living
เลื่อยลันดา,เครื่องใช้ในบ้าน,Home & Living,Home & Living,Home & Living
สื่อปฐมวัย,เครื่องเขียน หนังสือ และดนตรี,Mom & Baby,Mom & Baby,Stationery
ไอโซพอด,สัตว์เลี้ยง,Pets,Pets,Pets
calcium l threonate,เครื่องใช้ในบ้าน,Health,Health,Health
sunoo,อื่นๆ,Hobbies & Collections,Hobbies & Collections,Home & Living
เครื่องตัดหญ้า 2 จังหวะ,เครื่องใช้ไฟฟ้าภายในบ้าน,Home & Living,Home & Living,Home & Living
วิธีไล่ลมในท้อง,อื่นๆ,,,
3 plus,อื่นๆ,Health,Home Appliances,Home Appliances
antigen test kit,อาหารเสริมและผลิตภัณฑ์สุขภาพ,Health,Health,Health
sony wh 1000xm4,สื่อบันเทิงภายในบ้าน,Audio,Audio,Audio
จักรยานเด็ก,ยานยนต์,Mom & Baby,Mom & Baby,Mom & Baby
araya,ความงามและของใช้ส่วนตัว,Health,Health,Health
เฌอ,ความงามและของใช้ส่วนตัว,Beauty,Beauty,Beauty
abraham lincoln vampire hunter ประธานาธิบดี ลินคอล์น นักล่าแวมไพร์,สื่อบันเทิงภายในบ้าน,,,
ปรอทวัดไข้,อาหารเสริมและผลิตภัณฑ์สุขภาพ,Health,Health,Health
ทุเรียนหมอนทอง,อาหารและเครื่องดื่ม,Home & Living,Food & Beverages,Food & Beverages
ชุดผ้าปูที่นอน,เครื่องใช้ในบ้าน,Home & Living,Home & Living,Home & Living
oneplus 8,มือถือและอุปกรณ์เสริม,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
แอร์หน้าต่าง,เครื่องใช้ไฟฟ้าภายในบ้าน,Home Appliances,Home Appliances,Home Appliances
ถุงผ้าราคาส่ง,กระเป๋า,Women Bags,Women Bags,Women Bags
วอลเปเปอร์สีดํา การ์ตูน,เครื่องเขียน หนังสือ และดนตรี,,,
แรงโก้,อื่นๆ,Hobbies & Collections,Sports & Outdoors,Sports & Outdoors
แบบบ้านชั้นเดียว,Others,Home & Living,Home & Living,Home & Living
หลุดไทย,Others,Beauty,Beauty,Beauty
iphone 11,มือถือและอุปกรณ์เสริม,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
note 10 plus,มือถือและอุปกรณ์เสริม,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
เวฟ110iแต่ง,ยานยนต์,Motorcycles,Motorcycles,Motorcycles
วิตามิน ซี องค์การ เภสัช,อาหารเสริมและผลิตภัณฑ์สุขภาพ,,,
แมส ญี่ปุ่น,อาหารเสริมและผลิตภัณฑ์สุขภาพ,Health,Health,Health
weplaytv,อื่นๆ,,,
เกี๊ยว ซ่า,อาหารและเครื่องดื่ม,Food & Beverages,Home & Living,Home & Living
โฟร์โมสต์,อาหารและเครื่องดื่ม,Mom & Baby,Mom & Baby,Mom & Baby
ลาย แหวน ทอง ครึ่ง สลึง เยาวราช,เครื่องประดับ,,,
โลชั่น ผิว ขาว,ความงามและของใช้ส่วนตัว,Beauty,Beauty,Beauty
advixe,คอมพิวเตอร์และแล็ปท็อป,Computers & Accessories,Computers & Accessories,Computers & Accessories
กระชัง บก,เครื่องใช้ในบ้าน,Pets,Pets,Pets
เครื่อง วัด ออกซิเจน ปลาย นิ้ว,อาหารเสริมและผลิตภัณฑ์สุขภาพ,Health,Health,Health
นม คน,Others,Health,Mom & Baby,Mom & Baby
hot wheels,ของเล่น สินค้าแม่และเด็ก,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
ส ไป เด อ ร์ แมน โฮม คั ม มิ่ง,เครื่องเขียน หนังสือ และดนตรี,,,
ชุดไปเที่ยวทะเล,เสื้อผ้าแฟชั่นผู้หญิง,Women Clothes,Women Clothes,Women Clothes
วัสดุก่อสร้าง,อื่นๆ,Home & Living,Home & Living,Home & Living
gpx legend 200,ยานยนต์,Motorcycles,Motorcycles,Motorcycles
สิ่งประดิษฐ์วิทยาศาสตร์,ของเล่น สินค้าแม่และเด็ก,Mom & Baby,Mom & Baby,Mom & Baby
atopalm,Others,Beauty,Beauty,Beauty
นิ่งเฮียก็หาว่าซื่อ,เครื่องเขียน หนังสือ และดนตรี,Books & Magazines,Books & Magazines,Books & Magazines
