Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
1660 super,3C與筆電,Computers & Accessories,Computers & Accessories,Computers & Accessories
ducky,3C與筆電,Computers & Accessories,Computers & Accessories,Sports & Outdoors
iwatch,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Watches
usb 音效卡,3C與筆電,Computers & Accessories,Computers & Accessories,Computers & Accessories
xg438q,3C與筆電,Computers & Accessories,Computers & Accessories,Computers & Accessories
充氣娃娃,其他類別,Health,Health,Health
成宮りか,其他類別,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
晾衣架,居家生活,Home & Living,Home & Living,Home & Living
暴雪,遊戲王,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
桌上型攪拌機,家電影音,Home Appliances,Home Appliances,Home Appliances
氧氣瓶,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
窗簾,居家生活,Home & Living,Home & Living,Home & Living
火鍋料,美食、伴手禮,Food & Beverages,Food & Beverages,Home & Living
口罩正確戴法,Others,,,
蚤不到,寵物,Pets,Home & Living,Home & Living
dhc 維他命c,美妝保健,Health,Health,Home & Living
美德 口罩,居家生活,Health,Health,Health
55 直播,Others,,,
迪 卡農,戶外與運動用品,,,
顏 文字,娛樂、收藏,,,
九族 文化 村 門票,服務、票券,,,
staub鑄鐵鍋,居家生活,Home & Living,Home & Living,Home Appliances
彈射 世界,遊戲王,Gaming & Consoles,Books & Magazines,Books & Magazines
礦泉 水,美食、伴手禮,Home & Living,Home & Living,Home & Living
蝦皮店到店加盟,Platform Terms ( Shopee / Momo),Home & Living,Home & Living,Home & Living
yamaha limi,汽機車零件百貨,Motorcycles,Motorcycles,Automobiles
酷愛 成人,其他類別,,,
led 檯燈,居家生活,Home & Living,Home & Living,Sports & Outdoors
mikami yua,,Hobbies & Collections,Hobbies & Collections,Books & Magazines
口交,,Health,Health,Health
橄欖 油,,Food & Beverages,Beauty,Beauty
2 cat,3C與筆電,Pets,Beauty,Beauty
htc vive,3C與筆電,Mobile & Gadgets,Mobile & Gadgets,Home & Living
mk包,女生包包/精品,Women Bags,Women Bags,Women Bags
nb,戶外與運動用品,Women Shoes,Women Shoes,Sports & Outdoors
q哥,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
威士忌杯,居家生活,Home & Living,Home & Living,Home & Living
捕蚊燈,家電影音,Home & Living,Home & Living,Home & Living
本庄鈴,娛樂、收藏,Books & Magazines,Books & Magazines,Books & Magazines
格差天堂,書籍及文創商品,Books & Magazines,Books & Magazines,Hobbies & Collections
水生植物,居家生活,Home & Living,Home & Living,Home & Living
素食,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
自拍2,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
釣魚遊戲,娛樂、收藏,Mom & Baby,Hobbies & Collections,Mom & Baby
雷射雕刻機,3C與筆電,Home & Living,Home & Living,Home & Living
生發酒精,居家生活,Health,Health,Health
愛奇藝會員,服務、票券,"Tickets, Vouchers & Services",Home Appliances,Audio
奶油酥條,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
斬桃花,居家生活,Home & Living,Home & Living,Home & Living
lmarket,Others,Pets,Hobbies & Collections,Hobbies & Collections
紅龜粿,美食、伴手禮,Mom & Baby,Hobbies & Collections,Baby & Kids Fashion
親子 腳踏車,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
品田 牧場,服務、票券,"Tickets, Vouchers & Services",Food & Beverages,Food & Beverages
過 碳酸 鈉,居家生活,Home & Living,Home & Living,Home & Living
影印 店,服務、票券,Stationery,Books & Magazines,Books & Magazines
離婚協議書哪裡買,書籍及文創商品,,,
髮,美妝保健,Beauty,Beauty,Health
dior錶,女生配件,Watches,Fashion Accessories,Fashion Accessories
湯瑪士 小 火車,遊戲王,,,
全息 投影,家電影音,Home Appliances,Home Appliances,Home Appliances
mikami yua,Others,Hobbies & Collections,Hobbies & Collections,Books & Magazines
睫毛生長液,美妝保健,Beauty,Beauty,Beauty
胡桃香氣,居家生活,,,
釘鞋,,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
1660,,Computers & Accessories,Computers & Accessories,Home & Living
honda hornet 2.0,,Motorcycles,Motorcycles,Motorcycles
衛生紙,,Home & Living,Home & Living,Home & Living
aha,,Beauty,Beauty,Health
711福袋,Others,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
aero 15,3C與筆電,Computers & Accessories,Automobiles,Automobiles
alexa,家電影音,Audio,Home Appliances,Home & Living
goro's,男生包包與配件,Fashion Accessories,Men Clothes,Men Clothes
le coq sportif,戶外與運動用品,Sports & Outdoors,Men Clothes,Women Bags
nintendo switch,遊戲王,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
phcome,Platform Terms ( Shopee / Momo),Mobile & Gadgets,Motorcycles,Motorcycles
sxos,遊戲王,,Gaming & Consoles,
岡本002,美妝保健,Health,Health,Health
布尿布,嬰幼童與母親,Mom & Baby,Mom & Baby,Mom & Baby
捕蚊燈,家電影音,Home & Living,Home & Living,Home & Living
櫻空桃,其他類別,Health,Hobbies & Collections,Stationery
無印良品,居家生活,Stationery,Stationery,Stationery
睡衣,女生衣著,Women Clothes,Women Clothes,Women Clothes
美心月餅,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
聯邦銀行,Platform Terms ( Shopee / Momo),Hobbies & Collections,Travel & Luggage,Home & Living
識別證套,居家生活,Stationery,Stationery,Stationery
明太子醬,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
ideapocket,美妝保健,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
旗桿,娛樂、收藏,Home & Living,Travel & Luggage,Home & Living
能恩水解,嬰幼童與母親,Mom & Baby,Mom & Baby,Mom & Baby
plc,3C與筆電,Computers & Accessories,Computers & Accessories,Computers & Accessories
realme x50,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
xexymix,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
ktr 150,汽機車零件百貨,Motorcycles,Motorcycles,Motorcycles
c23 乳酸菌,美妝保健,Home & Living,Home & Living,Beauty
行動 ktv,戶外與運動用品,Audio,Audio,Audio
模型 店,娛樂、收藏,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
衣架 桿,居家生活,Home & Living,Home & Living,Home & Living
wifi mesh,3C與筆電,Computers & Accessories,Computers & Accessories,Computers & Accessories
捍衛 任務,娛樂、收藏,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
goyard 包,女生包包/精品,Women Bags,Women Bags,Baby & Kids Fashion
in house,女生衣著,Home & Living,Home & Living,Women Clothes
手機 顯微鏡,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
手機 接 電視,家電影音,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
釘鞋,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
520av,,,,
幸運飛艇,,Gaming & Consoles,Mobile & Gadgets,Mobile & Gadgets
medimix,美妝保健,Beauty,Beauty,Beauty
nokia 7.2,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
rtx 2070,3C與筆電,Computers & Accessories,Computers & Accessories,Computers & Accessories
twg,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
寶乖亞,美妝保健,Mom & Baby,Mom & Baby,Mom & Baby
廚櫃,居家生活,Home & Living,Home & Living,Home & Living
愛貝金流,Others,Fashion Accessories,Home & Living,Home & Living
桶仔雞,美食、伴手禮,Sports & Outdoors,Sports & Outdoors,Home & Living
殭屍毀滅工程,遊戲王,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
狗尾草,居家生活,Food & Beverages,Food & Beverages,Food & Beverages
除蟎吸塵器,家電影音,Home Appliances,Home Appliances,Home Appliances
