Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
dac nhan tam,Nhà Sách Online,,Books & Magazines,Books & Magazines
túi chống sốc,Túi Ví,Men Bags,Stationery,Stationery
man hinh may tinh cu,Thiết Bị Điện Tử,Computers & Accessories,Computers & Accessories,Computers & Accessories
meme gấu trúc,Nhà Sách Online,Stationery,Mom & Baby,Stationery
dáng hình thanh âm,Đồ Chơi,Audio,Hobbies & Collections,Books & Magazines
chống thấm,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
túi laptop,Túi Ví,Computers & Accessories,Computers & Accessories,Computers & Accessories
farmasi,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
xe cứu hỏa đồ chơi,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
cọ trang điểm,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
apple watch,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bánh chocopie,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
vision,Ô tô - xe máy - xe đạp,,Hobbies & Collections,Hobbies & Collections
mì tiến vua,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
srm innisfree,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
máy rung,Ô tô - xe máy - xe đạp,Health,Health,Hobbies & Collections
jujutsu kaisen manga,Nhà Sách Online,Men Clothes,Stationery,Stationery
túi xách nữ đẹp,Túi Ví,Women Bags,Women Bags,Women Bags
sách vải cho bé,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
decath,Others,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
bánh xe ghế xoay,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
cát bụi chân ai,Nhà Sách Online,Books & Magazines,Books & Magazines,Home Appliances
vision,Ô tô - xe máy - xe đạp,,Hobbies & Collections,Hobbies & Collections
up to second,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
váy 2 dây,Thời Trang Nữ,,Women Clothes,Women Clothes
anime cosplay,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
nail đẹp,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
mẫu áo dài đẹp,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
vali 24 inch,Thể Thao & Du Lịch,Travel & Luggage,Travel & Luggage,Travel & Luggage
thần thoại hy lạp,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
set đồ đi biển,Thời Trang Nữ,,Women Clothes,Sports & Outdoors
seako,Thể Thao & Du Lịch,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
bánh sầu riêng,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
tãi fake,Others,Audio,Audio,Audio
tóc mullet nam,,,Fashion Accessories,
dầu nóng hàn quốc,Sức Khỏe & Sắc Đẹp,,Health,Health
chân váy,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
quốc gia khởi nghiệp,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
cardigan,Thời Trang Nữ,,Women Clothes,Women Clothes
kem đánh răng median,Sức Khỏe & Sắc Đẹp,Health,Health,Health
balono1,Túi Ví,Men Bags,Women Bags,Women Clothes
ultra boost,Thể Thao & Du Lịch,Men Shoes,Men Shoes,Men Shoes
rèm nhựa,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
vinabox,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
ritter sport,Bách Hoá Online,Food & Beverages,Food & Beverages,Mom & Baby
klairs,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
camera wifi yoosee,Máy ảnh - Máy quay phim,Cameras & Drones,Cameras & Drones,Cameras & Drones
giày converse,Giày Dép Nữ,Women Shoes,Women Shoes,Women Shoes
7 viên ngọc rồng siêu cấp,Nhà Sách Online,Women Clothes,Women Clothes,Women Clothes
toshiba,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
logitech g304,Thiết Bị Điện Tử,Computers & Accessories,Computers & Accessories,Computers & Accessories
váy ngủ sexy,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
setviet,Others,Women Clothes,Women Clothes,Women Clothes
máy làm sữa hạt ranbem,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
giày vnxk,Giày Dép Nữ,Women Shoes,Women Shoes,Sports & Outdoors
vinmart +,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
loa sub điện,Thiết Bị Điện Tử,,Audio,Audio
tấm chắn giọt bắn,Nhà Cửa & Đời Sống,Home & Living,Baby & Kids Fashion,Home & Living
keochinh,Others,,,
giày bảo hộ jogger,Giày Dép Nam,Men Shoes,Men Shoes,Men Shoes
redmi note 10,Điện Thoại & Phụ Kiện,,Mobile & Gadgets,Mobile & Gadgets
trần triết viễn,Nhà Sách Online,,Hobbies & Collections,Hobbies & Collections
bim bim phô mai,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
xe dap tap the duc,Thể Thao & Du Lịch,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
badhabit,Thời Trang Nữ,Men Clothes,Women Clothes,Men Clothes
xiaomi redmi not 7,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
ảnh tokyo revengers,Nhà Sách Online,,Hobbies & Collections,Hobbies & Collections
siro ho,Sức Khỏe & Sắc Đẹp,Health,Health,Health
ốp lưng oppo a54,Điện Thoại & Phụ Kiện,,Mobile & Gadgets,Mobile & Gadgets
con tim rung động,Nhà Sách Online,Stationery,Stationery,Stationery
elizabeth olsen,Sức Khỏe & Sắc Đẹp,Beauty,Men Clothes,Beauty
sammy,Nhà Cửa & Đời Sống,,Beauty,Baby & Kids Fashion
chiếu trúc tăm,,Home & Living,Home & Living,Mom & Baby
xơ dừa trồng cây,,Home & Living,Home & Living,Home & Living
chuột không dây logitech,Máy tính & Laptop,Computers & Accessories,Computers & Accessories,Computers & Accessories
máy tính cũ,Máy tính & Laptop,,Computers & Accessories,Stationery
dây hdmi,Thiết Bị Điện Tử,Audio,Audio,Audio
headphone,Thiết Bị Điện Tử,Audio,Audio,Audio
điện thoại htc,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Audio
đồng hồ hublot,Đồng Hồ,,Watches,Watches
bơm chìm,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
sách gỗ,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
grow plus,Mẹ & Bé,Mom & Baby,Mom & Baby,Food & Beverages
pj,Thể Thao & Du Lịch,Food & Beverages,Food & Beverages,Food & Beverages
romano,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
hộp bút,Nhà Sách Online,Stationery,Stationery,Stationery
everybody up,Mẹ & Bé,,,
rút gỗ,Mẹ & Bé,,Mom & Baby,Mom & Baby
21 bài học cho thế kỷ 21,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
xbox 360 controller,Thiết Bị Điện Tử,Gaming & Consoles,Gaming & Consoles,Computers & Accessories
ghế ăn dặm hanbei,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
mỹ phẩm beauty queen,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
quần tất,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
the silent,Sức Khỏe & Sắc Đẹp,Computers & Accessories,Sports & Outdoors,Sports & Outdoors
men vi sinh biogaia,Mẹ & Bé,Mom & Baby,Mom & Baby,Health
goodndoc hydra b5 serum,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
canxinano,Sức Khỏe & Sắc Đẹp,Health,Health,Health
sữa kid essentials,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
lọc bể cá,Chăm sóc thú cưng,,Pets,Pets
ghe tinh yêu,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
our beloved summer,Nhà Sách Online,,Hobbies & Collections,Home & Living
bao cao su durex invisible,Sức Khỏe & Sắc Đẹp,Health,Health,Health
hộp đựng quần áo,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
cồn khô,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
offgun,Nhà Sách Online,Hobbies & Collections,Hobbies & Collections,Stationery
mái thưa,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
chảnh beauty,Sức Khỏe & Sắc Đẹp,Beauty,Health,Health
eo thon nhỏ,Others,Beauty,Books & Magazines,Books & Magazines
collagen trắng da,Sức Khỏe & Sắc Đẹp,Health,Health,Beauty
xe địa hình điều khiển từ xa,Đồ Chơi,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
giảm cân slim be,,Health,Health,Health
giường đẹp,,Home & Living,Home & Living,Beauty
khoan cắt bê tông,,Home & Living,Home & Living,Home & Living
xe địa hình điều khiển từ xa,,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
máy đo đường huyết omron,,Health,Health,Health
khung tranh treo tường,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
áo,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
dép,Giày Dép Nữ,,Women Shoes,Women Shoes
khẩu trang,Sức Khỏe & Sắc Đẹp,,Health,Health
bàn xếp,Nhà Cửa & Đời Sống,Computers & Accessories,Home & Living,Home & Living
máy xay thịt công nghiệp,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
den pin sieu sang,Thể Thao & Du Lịch,Home & Living,Home & Living,Sports & Outdoors
apple japan,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Home & Living,Home & Living
vision,Ô tô - xe máy - xe đạp,,Hobbies & Collections,Hobbies & Collections
