"keyword","category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"kisu hiraki","Food & Beverages","Food & Beverages",,
"cny decoration 2022","Home & Living",,"Home & Living",
"trt","Women's Apparel","Mobile & Gadgets",,
"chloe singapore","Women's Bags","Beauty & Personal Care",,
"beanbag","Home & Living","Home & Living","Home & Living",
"innifree","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care",
"shopeep","Platform Terms (Lazada / Shopee)","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"cuberspace","Toys, Kids & Babies","Toys, Kids & Babies",,
"holland village bar","Lifestyle",,,
"ssd 1tb price","Computers & Peripherals","Computers & Accessories","Computers & Accessories","Computers & Accessories"
"32 inch 4k monitor","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"neck strap","Cameras & Drones","Jewellery & Accessories","Mobile & Gadgets","Jewellery & Accessories"
"kraft box singapore","Home & Living","Home & Living","Home & Living",
"luggage singapore","Travel & Luggage","Travel & Luggage","Travel & Luggage",
"ariston water heater","Home Appliances","Home Appliances","Home Appliances",
"holy communion elements","Food & Beverages",,"Food & Beverages",
"lg singapore monitor","Computers & Peripherals",,,
"basket for bicycle","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"ka capsules","Home & Living","Home & Living","Home & Living",
"seat cushion","Home & Living","Home & Living","Home & Living","Home & Living"
"java foldable bicycle singapore","Sports & Outdoors","Sports & Outdoors",,
"power tracks","Home Appliances","Home Appliances","Home Appliances",
"xgimi projector","Computers & Peripherals","Computers & Peripherals",,
"window unit aircon","Home Appliances","Home Appliances","Home Appliances",
"ikea dustbin","Home & Living","Home & Living",,
"laptop table for bed","Home & Living","Home & Living",,
"cycle glove","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"microfiber towels","Home & Living","Home & Living","Home & Living",
"best durian cake singapore","Food & Beverages",,,
"plastic shoes cabinet","Home & Living","Home & Living","Home & Living",
"protein bottle shaker","Sports & Outdoors","Sports & Outdoors",,
"undermount kitchen sink","Home & Living","Home & Living","Home & Living",
"zao cai mao","Hobbies & Books",,"Home & Living",
"1650 super","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"c type to dp","Computers & Peripherals","Computers & Accessories","Computers & Accessories","Computers & Accessories"
"sofa foldable","Home & Living","Home & Living","Toys, Kids & Babies",
"40inch tv","Home Appliances","Home Appliances","Home Appliances",
"batik shirt","Men's Wear","Men's Wear","Men's Wear","Men's Wear"
"m1 maxx","Mobile & Gadgets","Dining, Travel & Services","Dining, Travel & Services","Home Appliances"
"safety mark singapore","Platform Terms (Lazada / Shopee)",,,
"door magnets","Home & Living","Home & Living",,
"singapore online shopping sites","Platform Terms (Lazada / Shopee)",,,
"tolly joy","Home & Living","Toys, Kids & Babies",,
"airpod pro case singapore","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"adjustable spanners","Home & Living","Home & Living","Home & Living",
"dip bars","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"blackout blind","Home & Living","Home & Living","Home & Living",
"hair curler singapore","Home Appliances","Beauty & Personal Care",,
"watch digital","Watches","Watches",,
"brbantia","Home & Living","Home & Living","Home & Living","Home & Living"
"crotchet yarn","Home & Living","Home & Living","Home & Living","Home & Living"
"tempur pillow","Home & Living","Home & Living","Home & Living","Home & Living"
"chinese new year decorations supplier singapore","Home & Living",,,
"study table lamp","Home & Living","Home & Living","Home & Living","Home & Living"
"shiok garden","Dining, Travel & Services","Women Shoes","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
"comforter","Home & Living","Home & Living","Home & Living","Home & Living"
"office chair singapore sale","Home & Living",,,
"remote control ceiling fan","Home Appliances","Home Appliances","Home & Living",
"tiled carpet","Home & Living","Home & Living","Home & Living","Home & Living"
"folding mountain bike","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"stress ball","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
"sports jackets","Sports & Outdoors","Men's Wear","Women's Apparel",
"smart watch price singapore","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"fidget packs","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",
"nike waffle one","Sports & Outdoors",,"Sports & Outdoors",
"japan xx","Others",,,
"toilet cleaner liquid","Home & Living",,"Home & Living",
"teapot sets","Home & Living","Home & Living","Home & Living",
"ice making fridge","Home Appliances",,"Home & Living",
"moccona coffee","Food & Beverages","Food & Beverages","Food & Beverages",
"scoop singapore","Others",,"Women's Shoes",
"backpack for cats","Pet Food & Supplies","Pet Food & Supplies",,
"skateboard wheels","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"laundry bag","Home & Living","Home & Living","Home & Living","Home & Living"
"hdmi to usbc","Computers & Peripherals","Computers & Peripherals",,
"long sleeve blouses","Women's Apparel","Women's Apparel","Women's Apparel",
"best multi cooker singapore","Home Appliances",,,
"spanner box","Home & Living","Home & Living",,
