"keyword","category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"101","女生衣著","Sports & Outdoors","Tickets & Services",
"9t pro","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"agatha","女生包包/精品","Women Accessories","Women Bags",
"all in one","3C與筆電","Health & Beauty","Health & Beauty",
"all in one","3C與筆電","Health & Beauty","Health & Beauty",
"ama s860","汽機車零件百貨","Motors","Motors",
"asus zenfone 5","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"aukey","3C與筆電","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"balmuda","家電影音","Home Electronic","Home Electronic",
"blender bottle","戶外與運動用品","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"corsair","3C與筆電","Hardware & 3C","Hardware & 3C",
"decamax","3C與筆電","Home Electronic",,
"dp轉hdmi","3C與筆電","Hardware & 3C",,
"fleshlight","其他類別","Everything Else","Everything Else",
"fossil","女生包包/精品","Men's Bags& Accessories","Men's Bags& Accessories",
"garmin instinct","手機平板與周邊","Mobile & Gadgets","Hardware & 3C",
"giordano","男生衣著","Men's Apparel","Women's Apparel",
"gucci","女生包包/精品","Women Bags","Women Bags","Men's Bags& Accessories"
"hypervolt","戶外與運動用品","Sports & Outdoors","Sports & Outdoors",
"i5-1035g1","3C與筆電","Hardware & 3C","Hardware & 3C",
"intel ssd","3C與筆電","Hardware & 3C","Hardware & 3C",
"ip cam","3C與筆電","Hardware & 3C","Hardware & 3C",
"k380","3C與筆電","Hardware & 3C","Hardware & 3C","Hardware & 3C"
"katfile","遊戲王","Tickets & Services","Hardware & 3C","Hardware & 3C"
"lee","女生衣著","Men's Apparel","Men's Apparel",
"minecraft 指令","書籍及文創商品","Books","Books",
"minecraft 指令","書籍及文創商品","Books","Books",
"nubra","女生衣著","Women's Apparel","Women's Apparel","Women's Apparel"
"pchome.megatime.com.tw","Platform Terms ( Shopee / Momo)",,,
"persil","居家生活","Home & Living","Home & Living","Home & Living"
"phome","Platform Terms ( Shopee / Momo)","Mobile & Gadgets",,
"racing s 150","汽機車零件百貨","Motors","Motors","Motors"
"ricardo milos","男生衣著",,"Men's Apparel",
"ssd 512g","3C與筆電","Hardware & 3C","Hardware & 3C",
"suunto","手機平板與周邊","Sports & Outdoors","Sports & Outdoors",
"switch 保護殼","遊戲王","Game Kingdom","Game Kingdom","Game Kingdom"
"xbox360手把","遊戲王","Game Kingdom","Game Kingdom",
"zenfone 6","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"三國創傑傳","娛樂、收藏","Life & Entertainment","Life & Entertainment",
"世界地圖","居家生活","Home & Living","Home & Living","Home & Living"
"任天堂明星大亂鬥","遊戲王","Game Kingdom","Game Kingdom","Game Kingdom"
"倍潔雅","居家生活","Home & Living","Home & Living","Home & Living"
"友翔單車","戶外與運動用品","Health","Home & Living","Home & Living"
"口罩團購","居家生活","Home & Living",,
"咖啡磨豆機","居家生活","Home & Living","Home Electronic",
"單人沙發床","居家生活","Home & Living","Home & Living",
"地縛少年花子君","娛樂、收藏","Life & Entertainment","Life & Entertainment","Books"
"太陽能發電系統","居家生活","Home & Living","Home & Living",
"奶瓶消毒鍋","嬰幼童與母親","Mother & Baby","Mother & Baby","Mother & Baby"
"寵物背包","寵物","Pets","Pets","Pets"
"寶可夢卡牌","遊戲王","Game Kingdom","Game Kingdom","Game Kingdom"
"寶拉","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"小潘蛋糕坊","美食、伴手禮","Food & Beverages","Food & Beverages",
"小米空氣清淨機2s","家電影音","Home Electronic","Home Electronic",
"小米行車記錄器","汽機車零件百貨","Motors","Motors","Motors"
"康寧餐具","居家生活","Home & Living","Home & Living",
"延長蝦皮承諾","Platform Terms ( Shopee / Momo)","Home & Living",,
"彩色雷射印表機","3C與筆電","Hardware & 3C","Hardware & 3C",
"後背包推薦","女生包包/精品","Women Bags","Women Bags",
"微波爐料理","家電影音","Home Electronic","Home & Living",
"戀柱","娛樂、收藏","Life & Entertainment","Life & Entertainment",
"我的英雄學院 漫畫","書籍及文創商品","Books","Books",
"手工卡片","其他類別","Everything Else","Everything Else","Everything Else"
"手機推薦","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"指甲油","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"挺立","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"挺立","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"收納櫃","居家生活","Home & Living","Home & Living","Home & Living"
"放大鏡","居家生活","Home & Living","Home & Living","Home & Living"
"日本sim卡","手機平板與周邊",,"Mobile & Gadgets",
"架子","居家生活","Home & Living","Home & Living",
"機車輪胎價格","汽機車零件百貨","Motorcycles","Automobiles","Automobiles"
"止滑墊","居家生活","Home & Living","Home & Living","Home & Living"
"水母衣","戶外與運動用品","Women's Apparel","Women's Apparel",
"沙發墊","居家生活","Home & Living","Home & Living","Home & Living"
"洗衣機推薦","家電影音",,"Home Electronic",
"流理台","居家生活","Home & Living","Home & Living",
"浴簾","居家生活","Home & Living","Home & Living","Home & Living"
"浴袍","居家生活","Women's Apparel","Women's Apparel","Women's Apparel"
"烘王烤箱","家電影音","Home Electronic","Home Electronic",
"玻璃筆","居家生活","Home & Living","Home & Living",
"甜菜根","美食、伴手禮","Food & Beverages","Food & Beverages",
"生抽","美食、伴手禮","Food & Beverages","Food & Beverages",
"福利品","3C與筆電","Home Electronic","Home Electronic",
"福士","汽機車零件百貨","Motors","Motors","Motors"
"私密處清潔","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"空拍機推薦","3C與筆電","Cameras & Drones","Mom & Baby","Cameras & Drones"
"窗簾軌道","居家生活","Home & Living","Home & Living","Home & Living"
"筆電","3C與筆電","Hardware & 3C","Hardware & 3C","Hardware & 3C"
"綠幽靈","娛樂、收藏","Life & Entertainment","Life & Entertainment",
"綠豆椪","美食、伴手禮","Food & Beverages","Food & Beverages",
"網路購物","Platform Terms ( Shopee / Momo)","Home & Living","Home & Living",
"翔仔居家","居家生活","Home & Living","Home & Living","Home & Living"
"菊花茶","美食、伴手禮","Food & Beverages","Food & Beverages","Health & Beauty"
"藍光播放機","家電影音","Home Electronic","Home Electronic",
"藍芽耳機 ptt","手機平板與周邊","Hardware & 3C","Mobile & Gadgets",
"藍芽耳機推薦2019","手機平板與周邊",,,
"蝦皮網","Platform Terms ( Shopee / Momo)",,"Home & Living",
"變頻冷氣","家電影音","Home Electronic","Home Electronic",
"超視王","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"車震","汽機車零件百貨","Motors","Motors",
"過濾器","寵物","Home & Living","Home & Living",
"過濾器","寵物","Home & Living","Home & Living",
"酒杯","居家生活","Home & Living","Home & Living","Home & Living"
"防曬外套","女生衣著","Women's Apparel","Women's Apparel",
"電動工具","居家生活","Home & Living","Home & Living","Home & Living"
"電動工具","居家生活","Home & Living","Home & Living","Home & Living"
"電動腳踏車","戶外與運動用品","Sports & Outdoors","Sports & Outdoors",
"電腦桌","居家生活","Home & Living","Home & Living","Home & Living"
"電視螢幕","家電影音","Home Electronic","Home Electronic",
"電風扇","家電影音","Home Electronic","Home Electronic","Home Electronic"
"露營椅","戶外與運動用品","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"面紙盒","居家生活","Home & Living","Home & Living","Home & Living"
"鞋盒","居家生活","Home & Living","Home & Living","Home & Living"
"饗食天堂餐券","服務、票券","Tickets & Services","Tickets & Services",
"魚中魚","寵物","Sports & Outdoors","Pets",
"鴻海便當","家電影音","Home Electronic","Home Electronic",
"麥片","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"黑晶爐","家電影音","Home Electronic","Home Electronic",
"鬼滅漫畫","書籍及文創商品","Books","Books","Books"
"嬰兒地墊","嬰幼童與母親","Mother & Baby","Mother & Baby","Home & Living"
"日本洗衣球","居家生活","Home & Living","Home & Living","Home & Living"
"牛肝蕈","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"番茄鐘","居家生活","Home & Living","Home & Living",
"chanel 香水","美妝保健","Health & Beauty","Health & Beauty",
"電競主機","遊戲王","Hardware & 3C","Hardware & 3C",
"鹹豬肉","美食、伴手禮","Food & Beverages","Food & Beverages",
"桌上書架","居家生活","Home & Living","Home & Living",
"zenfone 8","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"iphone xs價格","手機平板與周邊","Mobile & Gadgets",,
"藝伎咖啡","美食、伴手禮","Food & Beverages","Food & Beverages",
"實木書桌","居家生活","Home & Living","Home & Living",
"不鏽鋼便當盒","居家生活","Home & Living","Home & Living","Home & Living"
"zenfone 8","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"打氧氣機","寵物","Pets","Pets",
"伴手禮推薦","美食、伴手禮","Food & Beverages",,
"三號電池","家電影音","Hardware & 3C","Hardware & 3C","Hardware & 3C"
"chanel 香水","美妝保健","Health & Beauty","Health & Beauty",
"zenfone 8","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"打氧氣機","寵物","Pets","Pets",
"伴手禮推薦","美食、伴手禮","Food & Beverages",,
"三號電池","家電影音","Hardware & 3C","Hardware & 3C","Hardware & 3C"
"chanel 香水","美妝保健","Health & Beauty","Health & Beauty",
"小茶栽堂","美食、伴手禮","Food & Beverages","Food & Beverages",
"蘋果日報","書籍及文創商品","Books","Books",
"考駕照","Others","Books",,
"楓之谷外掛","遊戲王","Game Kingdom","Game Kingdom",
"桂格完膳","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"生日驚喜","Others","Everything Else","Everything Else",
"皙之密","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"小獅王奶瓶","嬰幼童與母親","Mother & Baby","Mother & Baby","Mother & Baby"
"三洋冷氣","家電影音","Home Electronic","Home Electronic",
"桂格完膳","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
