Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
netbook,netbook,Computadores e Acessórios,Computing,Computing,,
212 masculino,212 male,Beleza,Health & Beauty,Shoes,,
jogo de cozinha,kitchen game,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
teclado musical,musical keyboard,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,Toys & Hobbies,
timer digital,digital timer,Others,Home & Living,Home & Living,Home Appliance,
mini berço,mini crib,Mãe e Bebê,Babies,Babies,,
escrivaninha,desk,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
hornet 2012,hornet 2012,Others,Vehicle Accessories,Vehicle Accessories,,
mini retifica,mini rectifier,Casa e Decoração,Home & Living,Home & Living,,
banquetas altas,high stools,Casa e Decoração,Home & Living,Home & Living,,
telhas de pvc,PVC tiles,Others,Home & Living,Women Clothes,,
colchão solteiro,single mattress,Casa e Decoração,Home & Living,Sports & Fitness,,
mercadlivre,free market,Others,,,,
narguilé,hookah,Others,Sports & Fitness,Home & Living,Home & Living,
memoria ddr3 4gb,ddr3 4gb memory,Computadores e Acessórios,Computing,Computing,,
escaleta,scaleta,Others,Toys & Hobbies,Toys & Hobbies,Toys & Hobbies,
samsung a20,samsung a20,Esportes e Lazer,Mobile & Accessories,Mobile & Accessories,,
moedor de café,coffee grinder,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
celular samsung,Samsung cell phone,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
j4,j4,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
ar split 110v,split air 110v,Eletroportáteis,Home & Living,,,
cama casal,double bed,Casa e Decoração,Home & Living,Home & Living,,
chopeira eletrica,electric beer tap,Others,,Home & Living,,
projetor para celular,mobile phone projector,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
americana.com,americana.com,Platform Terms (Shopee / Mercado),,Home & Living,,Platform Terms (Lazada / Shopee)
aquecedor solar,solar heater,Casa e Decoração,Home & Living,Home Appliance,,
samsung a70 preço,samsung a70 price,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
barra de led tv lg,lg tv led bar,Áudio,Electronics,Electronics,,
cafeteira inox,stainless steel coffee maker,Eletroportáteis,Home Appliance,Home & Living,,
caderno argolado,ring notebook,Papelaria,Stationery,Stationery,,
limpa fossa,septic tank cleaner,Casa e Decoração,Home & Living,Home & Living,,
cdj,cdj,Áudio,Electronics,Electronics,,
central de manga,sleeve center,Áudio,Men Clothes,,,
aparelho anti ronco,anti snoring device,Saúde,Health & Beauty,Health & Beauty,,
pebolim,table football,Casa e Decoração,Toys & Hobbies,Toys & Hobbies,,
mesa dobravel de parede,folding wall table,Casa e Decoração,Home & Living,Home & Living,,
aparelho de jantar 42 peças,42-piece dinner set,Casa e Decoração,Home & Living,Home & Living,,
cartas contra a humanidade,cards against humanity,Others,Toys & Hobbies,Toys & Hobbies,,
roupão feminino,women's bathrobe,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
the last of us,the last of us,Others,Home & Living,Home & Living,Fashion Accessories,
papel de parede tijolinho,brick wallpaper,Casa e Decoração,Home & Living,Home & Living,,
controle de ps4,ps4 controller,Jogos e Consoles,Mobile & Accessories,Mobile & Accessories,Computing,
porta retrato digital,digital photo frame,Others,Electronics,Electronics,,
controle remoto para ventilador de teto,remote control for ceiling fan,Áudio,Home & Living,Home Appliance,,
controle tv lg smart,lg smart tv remote,Áudio,Electronics,Electronics,Electronics,
conversor digital intelbras,intelbras digital converter,Áudio,Electronics,,,
aparador para sala,sideboard for living room,Casa e Decoração,Home & Living,Home & Living,,
gaiola para coelho,rabbit cage,Animais Domésticos,Pets,Pets,,
desumidificador de ar,air dehumidifier,Eletroportáteis,Home Appliance,Home Appliance,,
babuche infantil,children's slipper,Sapatos Femininos,Babies,Babies,Babies,
sansung a20,samsung a20,Celulares e Dispositivos,Mobile & Accessories,,,
churrasqueira ecologica,ecological barbecue,Casa e Decoração,Home & Living,,,
smart box,smart box,Computadores e Acessórios,Electronics,Electronics,Electronics,
filtro de agua lorenzetti,lorenzetti water filter,Eletroportáteis,Home Appliance,,,
filtro europa,europe filter,Eletroportáteis,Home Appliance,Home Appliance,,
maericanas,American women,Platform Terms (Shopee / Mercado),,,,Platform Terms (Lazada / Shopee)
fogao 6 bocas,6 burner stove,Eletroportáteis,Home & Living,,,
micro retifica,micro grinding,Others,Home & Living,Home & Living,,
bepantol mamy,bepanthol mamy,Saúde,Health & Beauty,,,
beyoung instant,beyoung instant,Beleza,Health & Beauty,Health & Beauty,,
oficce365,oficce365,Computadores e Acessórios,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
fone asus,asus headset,Áudio,Mobile & Accessories,Mobile & Accessories,,
biondina,biondina,Beleza,Health & Beauty,Health & Beauty,Health & Beauty,
cutelo,cleaver,Others,Home & Living,Home & Living,Home & Living,Home & Living
forno de embutir,built-in oven,Eletroportáteis,Home & Living,Home Appliance,,
boneca polly,polly doll,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,,
casinha infantil,children's house,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,,
forno eletrico 60 litros,60 liter electric oven,Eletroportáteis,Home Appliance,Home Appliance,,
estofados,upholstery,Casa e Decoração,Home & Living,Home & Living,,
molde de letras,letter mold,Papelaria,Home & Living,Home & Living,Home & Living,Home & Living
filtro de agua de barro,clay water filter,Casa e Decoração,Home & Living,Home & Living,,
