Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
figuras anime chile,anime figures chile,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
bape shark,bape shark,Ropa de Hombre,Mobile & Gadgets,Men Clothes,,
entradas daddy yankee chile,daddy yankee chile tickets,Hogar y Vida,,,,
calcetines antideslizantes,non slip socks,Deportes y Fitness,Women Clothes,Men Clothes,,
duchas electricas,electric showers,Hogar y Vida,Toys & Hobbies,,,
adaptador vga a hdmi,vga to hdmi adapter,Computación,Toys & Hobbies,Computing,,
rifle pcp,pcp rifle,Deportes y Fitness,,Sports & Fitness,,
guantes de arquero,goalkeeper gloves,Deportes y Fitness,Sports & Fitness,,,
spy x family manga,spy x family manga,Juguetes y Hobbies,Hobbies & Collections,Men Clothes,Men Clothes,
termos de comida,food thermos,Hogar y Vida,Home & Living,,,
hervidor electrico,electric kettle,Electrodomésticos,Vehicle Accessories,Home Appliance,,
luces solares,solar lights,Hogar y Vida,,Home & Living,,
zapatillas reebok mujer,reebok women's sneakers,Calzado de Mujer,Women Shoes,Women Shoes,,
caja plastica,plastic box,Hogar y Vida,Home & Living,Home & Living,,
entradas coldplay chile,coldplay chile tickets,Others,,,,
indor,indoor,Hogar y Vida,,Home & Living,,
almohada cervical,cervical pillow,Hogar y Vida,Home & Living,Home & Living,,
descorchador electrico,electric corkscrew,Hogar y Vida,Food & Beverages,Home & Living,Food & Beverages,
zapatos de futbol adidas,adidas soccer shoes,Deportes y Fitness,Sports & Fitness,Sports & Fitness,,
calzas ecocuero,eco-leather leggings,Ropa de Mujer,,Women Clothes,,
lonchera electrica,electric lunch box,Electrodomésticos,Home & Living,Home & Living,,
piso flotante barato,cheap floating floor,Hogar y Vida,,,,
lona para toldo,awning canvas,Hogar y Vida,Sports & Fitness,,,
deysa care,deysa care,Salud,,,,
porta equipaje auto,car luggage rack,Accesorios para Vehículos,Travel & Luggage,,,
beyblade,beyblade,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
refrigerador samsung,samsung refrigerator,Electrodomésticos,Home & Living,,,
huawei band 6,huawei band 6,Celulares y Gadgets,Mobile & Gadgets,,,
tv box android,android tv box,Electrónica,Electronics,Electronics,Electronics,
caja fuerte,safe,Hogar y Vida,,Home & Living,,
cable de red,network cable,Computación,,Computing,,
plumon sherpa,sherpa down,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
termo hervidor,thermo kettle,Electrodomésticos,Home & Living,Home & Living,,
laminas para termolaminar,thermolaminating sheets,Papelería,Stationery,Stationery,Stationery,
foco led exterior,outdoor led spotlight,Hogar y Vida,Home & Living,,,
titeres,puppetry,Madre y Bebé,Toys & Hobbies,Toys & Hobbies,,
roldana,sheave,Hogar y Vida,Home & Living,Sports & Fitness,,
