Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
samsung galaxy z flip 3,samsung galaxy z flip 3,Celulares y Gadgets,Mobile & Gadgets,,,
mesas de ping pong,ping pong tables,Deportes y Fitness,Sports & Fitness,,,
ropa bebe,baby clothes,Madre y Bebé,Toys & Hobbies,Baby & Kids Fashion,,
similac total comfort,similac total comfort,Madre y Bebé,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
golden retriever,golden retriever,Mascotas,Home & Living,Pets,,
precio lamina policarbonato,polycarbonate sheet price,Hogar y Vida,,,,
frutero,fruiterer,Hogar y Vida,,Home & Living,,
estufa de induccion,induction stove,Electrodomésticos,-,Home & Living,,
gafas de seguridad industrial,industrial safety glasses,Hogar y Vida,Home & Living,Home & Living,,
balon de microfutbol,micro soccer ball,Deportes y Fitness,-,,,
avon colombia,avon colombia,Calzado de Hombre,,,,
olla eléctrica multifuncional,multifunctional electric pot,Electrodomésticos,,Home & Living,,
corral colecho,co-sleeping corral,Madre y Bebé,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
carros usados cartagena,used cars cartagena,Accesorios para Vehículos,,,,
vans bogota,vans bogota,Calzado de Mujer,,,,
subaru colombia,subaru colombia,Accesorios para Vehículos,,,,
venta de apartamentos nuevos en envigado,new apartments for sale in envigado,Hogar y Vida,,,,
medias antitrombóticas,antithrombotic stockings,Ropa de Mujer,,,,
tens fisioterapia,you have physiotherapy,Salud,Health,,,
tablet krono 10 pulgadas,krono 10 inch tablet,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
cojin para el coxis,coccyx cushion,Hogar y Vida,Automobiles,Automobiles,Automobiles,Automotive
portacomidas electrico,electric lunch box,Electrodomésticos,Home & Living,Home & Living,Home & Living,Home & Living
samsung a 10,samsung a 10,Celulares y Gadgets,,Mobile & Gadgets,,
somier doble,double bed base,Hogar y Vida,,,,
mesa para portatil,laptop table,Computación,Vehicle Accessories,Home & Living,,
aritex,aritex,Ropa de Hombre,,,,
plastico para invernadero,greenhouse plastic,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
montallantas,tire changer,Hogar y Vida,Home & Living,Automobiles,Automobiles,
iphone 6 precio,iphone 6 price,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
xiaomi 9a,xiaomi 9a,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
monopatin electrico,electric skateboard,Juguetes y Hobbies,,Sports & Fitness,,
duke 200 ng,duke 200 ng,Accesorios para Vehículos,,Hobbies & Collections,Motorcycles,
motos baratas,cheap motorcycles,Accesorios para Vehículos,,Vehicle Accessories,,
pestañas pelo a pelo,eyelashes hair by hair,Belleza,Beauty,Beauty,,
pulidora dewalt,dewalt polisher,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
rodilleras para moto,motorcycle knee pads,Deportes y Fitness,Vehicle Accessories,Vehicle Accessories,,
regalos para hombres,gifts for men,Others,,Jewelry & Watches,,
gato esfinge precio,sphinx cat price,Mascotas,,,,
sandero,sandero,Accesorios para Vehículos,,Vehicle Accessories,,
samsung s21 plus,samsung s21 plus,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
mirabel encanto,mirabelle charm,Juguetes y Hobbies,Women Clothes,Baby & Kids Fashion,Baby & Kids Fashion,
tamagotchi,tamagotchi,Juguetes y Hobbies,,Toys & Hobbies,,
vestidos de novia sencillos,simple wedding dresses,Ropa de Mujer,Fashion Accessories,,,
asador electrico,electric rotisserie,Hogar y Vida,Home & Living,Home & Living,,
figura de zoro,zoro figure,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
moto g9 power,moto g9 power,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
proteina whey,whey protein,Salud,Health,Health,Sports & Outdoors,
ventilador pequeño,small fan,Electrodomésticos,Mobile & Gadgets,Home Appliance,,
polo a tierra,ground pole,Electrónica,,Home & Living,,
reloj tissot 1853,tissot 1853 watch,Joyas y Relojes,Watches,Watches,Watches,
chupiplum,chupiplum,Alimentos y Bebidas,,,,
neveras de segunda,second hand refrigerators,Electrodomésticos,Mom & Baby,,,
microfonos inalambricos,wireless microphones,Electrónica,Electronics,Electronics,,
accesorios para celulares,cell phone accessories,Celulares y Gadgets,,Mobile & Gadgets,,
dolores madrigal,Dolores Madrigal,Juguetes y Hobbies,Women Clothes,Baby & Kids Fashion,Baby & Kids Fashion,
pastor collie,collie shepherd,Others,Automobiles,Automobiles,,
concertina,concertina,Hogar y Vida,Toys & Hobbies,,,
mazda allegro,Mazda Allegro,Accesorios para Vehículos,Vehicle Accessories,,,
colchon antiescaras precio,anti-bedsore mattress price,Others,,,,
cortina black up,black out curtain,Hogar y Vida,Home & Living,,,
xiaomi redmi note 10s 128gb,xiaomi redmi note 10s 128gb,Celulares y Gadgets,,,,
pistolas masajeadoras,massage guns,Salud,Health,Health,,
papel burbuja,bubble wrap,Papelería,,Home & Living,,
colgador de ropa plegable,folding clothes hanger,Hogar y Vida,,Home & Living,,
moto e 40,motorcycle e 40,Accesorios para Vehículos,Motorcycles,Mobile & Gadgets,Mobile & Gadgets,
venta fincas boyaca,boyaca farms for sale,Hogar y Vida,,,,
playstation 4 pro,playstation 4 pro,Videojuegos,,Video Games,,
honor band 6,honor band 6,Celulares y Gadgets,,Mobile & Gadgets,,
aislantes de sonido,sound insulators,Hogar y Vida,Mobile & Gadgets,,,
sondas electricas para destapar cañerias,electric probes for unclogging pipes,Others,,,,
fajas para después del parto,postpartum girdles,Madre y Bebé,Women Clothes,Mom & Baby,Women Clothes,
lavadora haceb 18 kg,washing machine haceb 18 kg,Electrodomésticos,,,,
licuadoras ninja colombia,ninja blenders colombia,Electrodomésticos,,,,
maquina cocer,cooking machine,Electrodomésticos,Home & Living,Mom & Baby,Mom & Baby,
closets de tela,cloth closets,Hogar y Vida,,Home & Living,,
cistoflo,cistophlo,Others,Health,Health,Health,Health & Wellness
galaxy a52s 5g,galaxy a52s 5g,Celulares y Gadgets,,Mobile & Gadgets,,
camaras ip wifi,wifi ip cameras,Electrónica,Computers & Accessories,Cameras & Drones,,
pilogan,pilogan,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
soportes metalicos para macetas bogotá,metal flower pot holders bogotá,Hogar y Vida,,,,
falavela,falavela,Platform Terms (Mercado/Shopee),,,,
short mujer,women's shorts,Ropa de Mujer,,Women Clothes,,
polteona,polteona,Hogar y Vida,,,,
morral colombia,colombian backpack,Viajes y Equipaje,,,,
office 365,office 365,Computación,Stationery,,,
tarjeta de video para portatil,laptop video card,Computación,,,,
redmi note 9s precio,redmi note 9s price,Celulares y Gadgets,,,,
mini pig precio,mini pig price,Mascotas,,,,
dragon ball super manga,dragon ball super manga,Juguetes y Hobbies,Men Clothes,,,
gato esfinge,sphinx cat,Mascotas,Jewelry & Watches,,,
reloj casio mujer,casio women's watch,Joyas y Relojes,Jewelry & Watches,Jewelry & Watches,,
motos electricas,electric motorcycles,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
armario rimax,rimax wardrobe,Hogar y Vida,Automobiles,Automobiles,Automobiles,Automotive
poco x3 pro 256gb,poco x3 pro 256gb,Celulares y Gadgets,Mobile & Gadgets,,,
trigales bello,beautiful wheat fields,Hogar y Vida,,,,
agenda,Agenda,Papelería,Stationery,Stationery,,
manoplas,mittens,Deportes y Fitness,,Fashion Accessories,,
gano excel,I win excel,Salud,Health,Health,Health,Health & Wellness
kawasaki ninja h2r,kawasaki ninja h2r,Accesorios para Vehículos,Motorcycles,Hobbies & Collections,,
disco duro externo 1 tera,external hard drive 1 tera,Computación,Computing,,,
carpas camping,camping tents,Deportes y Fitness,Sports & Fitness,Sports & Fitness,,
juegos para niñas,games for girls,Juguetes y Hobbies,Baby & Kids Fashion,Toys & Hobbies,,
dinosaurios de juguete,toy dinosaurs,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
aerografos,airbrushes,Hogar y Vida,Home & Living,Home & Living,,
juegos de alcoba,bedroom games,Hogar y Vida,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
billetera hombre,men's wallet,Bolsas de Hombre,Men Bags,Men Bags,,
y6 2019,y6 2019,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
camara fotografica profesional,professional camera,Electrónica,Electronics,,,
billeteras mujer,women's wallets,Bolsos de Mujer,Women Bags,Women Bags,,
portátiles en promoción,laptops on sale,Computación,Computing,,,
maleta de ferxxo,ferxxo's suitcase,Ropa de Hombre,,,,
nutramigen,nutramigen,Madre y Bebé,Beauty,Baby & Kids Fashion,Baby & Kids Fashion,
escalones,steps,Deportes y Fitness,Home & Living,Toys & Hobbies,,
mt10,mt10,Accesorios para Vehículos,,Mobile & Gadgets,,
casas rodantes colombia,mobile homes colombia,Viajes y Equipaje,,,,
lubricantes anales,anal lubricants,Salud,,Health,,
mascarillas faciales,face masks,Belleza,Beauty,Beauty,,
mesas de planchar,ironing boards,Hogar y Vida,Home & Living,Home & Living,,
suzuki v strom 250,suzuki v-strom 250,Others,Motorcycles,Motorcycles,Motorcycles,
almohadas cervicales,cervical pillows,Hogar y Vida,,Home & Living,,
pista hot wheels,hot wheels track,Juguetes y Hobbies,Toys & Hobbies,,,
extractores de aire,air extractors,Electrodomésticos,Home & Living,Home & Living,,
perfumeria la riviera,perfumery the riviera,Belleza,,,,
audífonos iphone,iphone headphones,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
inflador electrico de globos,electric balloon inflator,Juguetes y Hobbies,,Home & Living,,
calendario 2023,2023 calendar,Others,,Home & Living,,
habitaciones.en.arriendo,rooms.for.rent,Others,,,,
pinza amperímetro,clamp ammeter,Electrodomésticos,Home & Living,,,
relojes tissot,tissot watches,Joyas y Relojes,-,Jewelry & Watches,,
balaclava,balaclava,Deportes y Fitness,Fashion Accessories,Fashion Accessories,,
extintor multiproposito,multipurpose fire extinguisher,Belleza,,,,
impermeable,waterproof,Celulares y Gadgets,,Home & Living,,
hyundai veloster,hyundai veloster,Salud,Automobiles,Automobiles,,
mercedes-amg g63,mercedes-amg g63,Hogar y Vida,,,,
tapetes para bebe,baby mats,Madre y Bebé,,Toys & Hobbies,,
retardantes,retardants,Salud,,Home & Living,,
mini impresora portatil,mini portable printer,Computación,Computing,Computing,,
vaso licuadora oster,oster blender glass,Electrodomésticos,Home Appliances,Home Appliances,Home Appliances,Home Appliances
ropa interior mujer,women's underwear,Ropa de Mujer,Women Clothes,Women Clothes,,
r15 yamaha precio,r15 yamaha price,Others,,,,
maletas totto,totto suitcases,Viajes y Equipaje,,,,
tote bag,tote bag,Bolsos de Mujer,Women Bags,Women Bags,,
secador remington,remington hairdryer,Electrodomésticos,Beauty,Beauty,Beauty,Beauty & Personal Care
precio redmi note 11,redmi note 11 price,Celulares y Gadgets,,,,
parachute pants,parachute pants,Hogar y Vida,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
black friday,black friday,Juguetes y Hobbies,Hobbies & Collections,,,
reebok anuel,reebok anuel,Calzado de Hombre,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
pochita peluche,pochita stuffed animal,Juguetes y Hobbies,,Toys & Hobbies,,
rx115,rx115,Others,Motorcycles,Motorcycles,Motorcycles,
habitos atomicos,atomic habits,Salud,,,,
motorola g32,motorola g32,Celulares y Gadgets,,Mobile & Gadgets,Mobile & Gadgets,
ps5 slim,ps5 slim,Videojuegos,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles,
honor magic 5,honor magic 5,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
100 momentos juntos,100 moments together,Others,Mobile & Gadgets,Home & Living,Home & Living,
llavero tablas de multiplicar,multiplication tables keychain,Hogar y Vida,Automobiles,Automobiles,Automobiles,Automotive
manteca de cerdo éxito,lard success,Alimentos y Bebidas,,,,
uniforme del barcelona 2023,barcelona uniform 2023,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
redmi buds 4,redmi buds 4,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bola de cristal,crystal ball,Hogar y Vida,Home & Living,Home & Living,,
celulares en descuento,cell phones on sale,Celulares y Gadgets,Mobile & Gadgets,,,
camioneta mercedes benz 2023,mercedes benz pickup truck 2023,Others,,,,
samsung a72 precio colombia,samsung a72 price colombia,Others,,,,
mascarilla n95,n95 mask,Salud,Fashion Accessories,Health,Sports & Fitness,
leche enfamil,enfamil milk,Alimentos y Bebidas,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
new era colombia,new era colombia,Others,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
trotadora,treadmill,Electrodomésticos,Sports & Outdoors,Sports & Outdoors,Automobiles,
huawei p smart 2019,huawei p smart 2019,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
calostro bovino,bovine colostrum,Salud,Health,Health,Health,Health & Wellness
carta astral,astral chart,Papelería,,,,
camiseta selección colombia negra,black colombia national team jersey,Deportes y Fitness,Sports & Outdoors,Fashion Accessories,Fashion Accessories,
lazos coquette,flirty bows,Accesorios de Moda,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
metacrilato,methacrylate,Hogar y Vida,Home & Living,,,
perfume yara,perfume yara,Belleza,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
aguardiente amarillo antioqueño,Antioquian yellow brandy,Alimentos y Bebidas,,,,
perfumes originales,original perfumes,Belleza,Audio,,,
air force 1,air force 1,Calzado de Hombre,Women Shoes,Men Shoes,,
xiaomi redmi 9a,xiaomi redmi 9a,Celulares y Gadgets,,Mobile & Gadgets,,
disco ssd,ssd disk,Computación,Computing,Computing,,
bicicleta eliptica,elliptical bike,Deportes y Fitness,Sports & Fitness,,,
silla escritorio,desk chair,Hogar y Vida,,Home & Living,,
orquideas,orchids,Hogar y Vida,,Home & Living,,
vaso termico,thermal glass,Hogar y Vida,Mom & Baby,Home & Living,,
secador de manos,hand dryer,Hogar y Vida,Beauty,Home & Living,Home Appliances,
bolsas de papel,paper bags,Papelería,Home & Living,Home & Living,,
freebuds 4i,freebuds 4i,Celulares y Gadgets,,Mobile & Gadgets,,
basculas digitales,digital scales,Electrodomésticos,Home & Living,,,
isolate,isolate,Salud,Audio,Audio,Audio,
sofa cama cali,sofa bed cali,Hogar y Vida,Pets,Home & Living,Home & Living,
ice roller,ice roller,Belleza,,Home & Living,,
kit camara de seguridad,security camera kit,Electrodomésticos,Electronics,Electronics,,
bidones de gasolina,gasoline canisters,Accesorios para Vehículos,Automobiles,Automobiles,Automobiles,Automotive
alexa parlante,talking alexa,Electrónica,,Computing,,
nevecon samsung,Samsung Nevecon,Electrodomésticos,Home Appliances,Home Appliances,Home Appliances,Home Appliances
redmi 10 pro,redmi 10 pro,Celulares y Gadgets,,Mobile & Gadgets,,
audifonos para sordos,hearing aids for the deaf,Electrónica,Health,Health,,
estabilizador,stabilizer,Computación,Electronics,Electronics,,
redmi note 11 precio,redmi note 11 price,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bascula digital,digital scale,Electrodomésticos,Health,Home & Living,,
tec italy,tec italy,Belleza,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
bws,bws,Others,Vehicle Accessories,Vehicle Accessories,,
iphone 12 mini,iphone 12 mini,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
patines profesionales,professional skates,Deportes y Fitness,,Home & Living,,
keratina recamier,keratin recamier,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
prismacolor,prismacolor,Papelería,Stationery,Stationery,,
immunocal,immunocal,Salud,Health,Health,Health,Health & Wellness
mapamundi,world map,Papelería,Jewelry & Watches,Jewelry & Watches,,
xiaomi redmi note 9 tiendas,xiaomi redmi note 9 stores,Celulares y Gadgets,,,,
one piece manga,one piece manga,Juguetes y Hobbies,Home & Living,Men Clothes,,
proplan,proplan,Mascotas,Pets,Pets,Pets,
drill para uñas,nail drill,Belleza,Beauty,Beauty,,
xtz125 yamaha,xtz125 yamaha,Accesorios para Vehículos,Motorcycles,Motorcycles,Motorcycles,
lampara de lava,lava lamp,Hogar y Vida,Mobile & Gadgets,Home & Living,,
samoyedo,Samoyed,Mascotas,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
pistola de paintball,paintball gun,Deportes y Fitness,,Sports & Fitness,,
huawei p9 lite,huawei p9 lite,Celulares y Gadgets,,Mobile & Gadgets,,
cama nido,trundle bed,Hogar y Vida,,Pets,,
fakeyou,fakeyou,Papelería,,,,
gafas de sol para hombre,sunglasses for men,Accesorios de Moda,Fashion Accessories,Fashion Accessories,,
terramicina,terramycin,Salud,Home & Living,Home & Living,Home & Living,Home & Living
bateria electrica,electric battery,Juguetes y Hobbies,-,Home & Living,,
patinetas,skateboards,Deportes y Fitness,,Sports & Fitness,,
p30 lite,p30 lite,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
samsung a 52,samsung a 52,Celulares y Gadgets,Mobile & Gadgets,,,
chevrolet spark gt,Chevrolet Spark GT,Others,Automobiles,Automobiles,Automobiles,Automotive
liquido de frenos,brake fluid,Accesorios para Vehículos,,Sports & Fitness,,
mi,my,Celulares y Gadgets,,Mobile & Gadgets,,
jeans anchos rotos mujer,wide ripped jeans for women,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
