Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
zoclo vinilico,vinyl skirting board,Others,Automobiles,Automobiles,Automobiles,Automotive
encendedores electricos,electric lighters,Hogar y Vida,Mobile & Gadgets,Home & Living,,
maquina de coser brother,brother sewing machine,Electrodomésticos,Home Appliances,Women Clothes,Women Clothes,
poste de luz,lamp post,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
ropa interior para hombre,men's underwear,Ropa de Hombre,Men Clothes,Men Clothes,,
gorra de animalitos,animal cap,Accesorios de Moda,Fashion Accessories,Fashion Accessories,Stationery,
wafflera,waffle maker,Electrodomésticos,Home Appliances,Home Appliances,Home Appliances,Home Appliances
botas dr martens,dr martens boots,Calzado de Hombre,Women Shoes,Women Shoes,,
moto 250,motorcycle 250,Others,Motorcycles,Sports & Outdoors,Sports & Outdoors,
posture doctor precio,posture doctor price,Salud,,,,
carritos montables para niñas,ride-on strollers for girls,Madre y Bebé,Audio,Stationery,Stationery,
cojines decorativos,decorative pillows,Hogar y Vida,-,-,,
poco m4 pro 5g,poco m4 pro 5g,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
xiaomi poco x4 pro 5g,xiaomi poco x4 pro 5g,Celulares y Gadgets,Mobile & Gadgets,Audio,Audio,
economico centros de mesa primera comunion,Economical first communion centerpieces,Hogar y Vida,,,,
juguetes de bob esponja,spongebob toys,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
pulsar 250,press 250,Others,Motorcycles,Motorcycles,Motorcycles,
simi colageno precio,simi collagen price,Salud,,,,
macallan 12,macallan 12,Alimentos y Bebidas,Mobile & Gadgets,Beauty,Beauty,
skins,skins,Others,Beauty,Mobile & Gadgets,,
britani,british,Salud,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
honda navi,honda navi,Others,Automobiles,Motorcycles,Motorcycles,
chevy 2004,chevy 2004,Others,Automobiles,Automobiles,Automobiles,Automotive
samsung galaxy buds pro,samsung galaxy buds pro,Celulares y Gadgets,Mobile & Gadgets,Audio,Mobile & Gadgets,
maquillaje,make-up,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
ssd,ssd,Computación,Computing,Computing,,
kayak,kayak,Deportes y Fitness,,-,,
fold a step precio,fold a step price,Hogar y Vida,,,,
cuanto mide un minion,How tall is a minion?,Others,,,,
porner,porner,Libros y Revistas,,,,
magic mixes,magic mixes,Juguetes y Hobbies,Mobile & Gadgets,Home & Living,Home & Living,
tarjetero mujer,women's card holder,Accesorios de Moda,Women Bags,Women Bags,,
maltipoo,maltipoo,Others,Men Clothes,Baby & Kids Fashion,Baby & Kids Fashion,
tarjeta del juego del calamar,squid game card,Juguetes y Hobbies,Home & Living,Stationery,Stationery,
colchones memory foam,memory foam mattresses,Hogar y Vida,Home & Living,Mom & Baby,Mobile & Gadgets,
refaccionaria,repair shop,Accesorios para Vehículos,Home & Living,Mom & Baby,Mom & Baby,
fisco agenda 2022,tax agenda 2022,Libros y Revistas,Automobiles,Books & Magazines,Automobiles,
yu gi oh,yu gi oh,Juguetes y Hobbies,Jewelry & Watches,Mobile & Gadgets,-,
la papa mas picosa del mundo,the spiciest potato in the world,Alimentos y Bebidas,Men Clothes,Men Clothes,Men Clothes,Men's Wear
audifonos sony bluetooth,sony bluetooth headphones,Celulares y Gadgets,Audio,Mobile & Gadgets,Mobile & Gadgets,
beats fit pro,beats fit pro,Celulares y Gadgets,Mobile & Gadgets,Audio,Audio,
zapatos antiderrapantes,non-slip shoes,Calzado de Mujer,Baby & Kids Fashion,Sports & Outdoors,Sports & Outdoors,
glade aromatizante,glade flavoring,Hogar y Vida,Home & Living,Home & Living,Automobiles,
maquina wahl,wahl machine,Electrodomésticos,Beauty,Pets,Audio,
maquinas de coser industriales,industrial sewing machines,Electrodomésticos,Home Appliances,Home Appliances,Home Appliances,Home Appliances
