Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
balenciaga t shirt,balenciaga t shirt,Men's Clothing,Men Clothes,Men Clothes,Men Clothes,Men's Wear
allano amway,allano amway,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
backdrop hari raya decoration,Hari Raya decoration backdrop,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
bonia watch,bonia watch,Watches,Watches,Watches,,
babycarrier,baby carrier,Baby & Toys,Baby & Toys,Baby & Toys,,
shampoo tresemme,Tresemme shampoo,Health & Beauty,Health & Beauty,Health & Beauty,,
wall paper dapur,kitchen wallpaper,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
voltbar pod,voltbar pod,Mobile & Gadgets,Home Appliances,Mobile & Gadgets,Mobile & Gadgets,
sanitising spray,sanitizing spray,Health & Beauty,Health & Beauty,Health & Beauty,,
blender fruit,Fruit blender,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
bean boozled,boozled beans,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
butter cookies kjeldsens,butter cookies kjeldsens,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
cases for iphone 6 plus,cases for iphone 6 plus,Mobile & Gadgets,,Mobile & Accessories,,
doa nabi sulaiman,Prophet Solomon's prayer,"Games, Books & Hobbies",Home & Living,Home & Living,,
拇指 琴,王指琴,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",,
ayu borneo,beautiful borneo,Tickets & Vouchers,Home & Living,,,
peti ais smeg,Smeg fridge,Home Appliances,Home Appliances,Home Appliances,,
32gb of ram,32gb of ram,Computer & Accessories,Computer & Accessories,Computer & Accessories,,
disinfectant spray gun,disinfectant spray gun,Health & Beauty,Home & Living,Home Appliances,Home Appliances,
babby carrier,baby carrier,Baby & Toys,Baby & Toys,Baby & Toys,,
wafak,wafak,Others,,Health & Beauty,,
bag boxing,boxing bag,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,,
g shock frogman,g shock frogman,Watches,Watches,Watches,,
changing mats,changing mats,Baby & Toys,Baby & Toys,Baby & Toys,,
bedsheet set,bed sheet set,Home & Living,Home & Living,Home & Living,,
body shaper for men,body shaper for men,Men's Clothing,Men Clothes,Health & Beauty,,
buah kundang muda,young kundang fruit,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
cartoon hentai,cartoon hentai,"Games, Books & Hobbies",Men Clothes,Home & Living,,
racun rumput paling kuat,the strongest herbicide,Home & Living,,Home & Living,,
www xxx com hd,www xxx com hd,Others,,,,
gshock,gshock,Watches,Watches,Watches,Watches,
price of 3d printer,price of 3d printer,Computer & Accessories,,,,
kamus bi ke bm oxford,bi to bm oxford dictionary,"Games, Books & Hobbies",Books & Magazines,Stationery,Stationery,
freegift untuk customer,free gift for customers,Others,Health & Beauty,,,
mattress pocket spring,mattress pocket spring,Home & Living,Home & Living,Home & Living,,
永生花,永生花,Home & Living,Home & Living,Home & Living,,
matress covers,mattress covers,Home & Living,Home & Living,Home & Living,,
contoh slip gaji,sample salary slip,Home & Living,Computers & Accessories,Computers & Accessories,Computers & Accessories,Computers & Peripherals
honda civic fe,honda civic fe,Automotive,,Automotive,,
susu dutchlady coklat,chocolate dutchlady milk,Groceries & Pets,Baby & Toys,Baby & Toys,,
tv malaysia,Malaysian TV,Home Appliances,Home Appliances,Mobile & Accessories,,
big boops,big boobs,Others,Women's Bags,,,
xha,haha,Others,Sports & Outdoor,,,
vivo watch,vivo watch,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
panda shop,panda shop,Home & Living,Men's Bags & Wallets,Health & Beauty,,
myvi disc brake,myvi disc brake,Automotive,Automotive,Automotive,,
rayban malaysia,rayban malaysia,Fashion Accessories,Fashion Accessories,,,
红天机,红天机,"Games, Books & Hobbies","Games, Books & Hobbies",,,
dairy milk,dairy milk,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
yts1,yts1,Home & Living,,,,
rantai tangan,hand chain,Fashion Accessories,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
design emas terkini,latest gold design,Fashion Accessories,,Fashion Accessories,,
dior lipstick,dior lipstick,Health & Beauty,Health & Beauty,Health & Beauty,,
mens leather sandals,mens leather sandals,Men's Shoes,Men Shoes,,,
spray car paint,spray car paint,Automotive,Automotive,Automotive,,
printer receipt,receipt printer,Computer & Accessories,Computer & Accessories,Computer & Accessories,,
milo kosong,milo is empty,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
fake teksi,fake taxi,Others,,Health & Beauty,,
jav tv,jav tv,Home Appliances,Home Appliances,Home Appliances,,
ginger bentong,bentong ginger,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
year 5 english textbook,year 5 english textbook,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",,
mooncake halal,Halal mooncakes,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
color shampoo,color shampoo,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
mido,mido,Watches,Watches,Watches,,
aluminium ladders,aluminum ladders,Home & Living,Home & Living,Home & Living,,
tempered glass matte,tempered glass matte,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
bilibili anime,bilibili anime,"Games, Books & Hobbies","Games, Books & Hobbies",,,
lazadalazada vip,lazadalazada vip,Platform Terms (Lazada/Shopee),,,,Platform Terms (Lazada / Shopee)
ace notebook,ace notebook,Computer & Accessories,Computer & Accessories,"Games, Books & Hobbies",,
qu puteh,qu puteh,Others,,Health & Beauty,,
1.5 litre water bottle,1.5 liter water bottle,Home & Living,Home & Living,,,
mn99s,mn99s,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",
android adult,adult android,Others,Mobile & Accessories,"Games, Books & Hobbies",,
smartphone yes,smartphone yes,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
bts butter album,bts butter album,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",
tayar continental,Continental tires,Automotive,Automotive,Automotive,,
headphones,headphones,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
charles & keith malaysia,charles & keith malaysia,Women's Bags,Women's Bags,Women's Bags,,
portmeirion malaysia,portmeirion malaysia,Home & Living,,Home & Living,,
nasi impit adabi,nasi impit adabi,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
4d moon,4d moon,Others,,,,
voucher starbuck,Starbucks vouchers,Tickets & Vouchers,Tickets & Vouchers,Tickets & Vouchers,,
4d ace,4d ace,Others,,Mobile & Accessories,,
mixxo malaysia,mixxo malaysia,Women's Clothing,,Women Clothes,,
brothers car accessories,brothers car accessories,Automotive,Automotive,Mobile & Accessories,,
spray air freshener,spray air freshener,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
jotun paint price,jotun paint price,Home & Living,Home & Living,,,
balenciaga bag,balenciaga bag,Women's Bags,Women's Bags,Women's Bags,,
inchaway,inchaway,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
molding resin,resin molding,Home & Living,Home & Living,Home & Living,,
打炮,gunfire,Others,Health & Beauty,,,
kingkoil,kingcoil,Home & Living,Home & Living,Home & Living,,
table lamps,table lamps,Home & Living,Home & Living,Home & Living,,
bak kwa,brother kwa,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
car gps tracker,car gps tracker,Automotive,Automotive,Automotive,,
wallet charles and keith,wallet charles and keith,Women's Bags,Women's Bags,Women's Bags,,
baju kurung sulam,embroidered shirt,Muslim Fashion,Muslim Fashion,Muslim Fashion,Muslim Fashion,
air frier,water fryer,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
cap tiga kaki,three foot stamp,Groceries & Pets,Health & Beauty,Groceries & Pets,,
tlc label,tlc label,Women's Clothing,Women Clothes,Women Shoes,Women Shoes,
malaysian snack,malaysian snack,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
nothing earbuds,nothing earbuds,Mobile & Gadgets,,Mobile & Accessories,,
glove winter,winter gloves,Fashion Accessories,Fashion Accessories,Fashion Accessories,,
wall lights outdoor,outdoor wall lights,Home & Living,Home & Living,Home & Living,,
clip bumper,bumper clip,Automotive,Automotive,Automotive,Automotive,
rim rays,rim rays,Automotive,Automotive,Automotive,,
spek mata viral perempuan,female viral eye spec,Fashion Accessories,Fashion Accessories,Fashion Accessories,,
lunch box smiggle,Smiggle lunch box,Baby & Toys,Baby & Toys,Baby & Toys,Home & Living,
asic gel kayano,asic gel kayano,Sports & Outdoor,Sports & Outdoor,,,
xm5,xm5,Mobile & Gadgets,Mobile & Accessories,,,
susu dupro 0-12 bulan,dupro milk 0-12 months,Baby & Toys,Health & Beauty,Groceries & Pets,,
uniqlo sling bag,uniqlo sling bag,Women's Bags,Women's Bags,Women's Bags,,
18禁,18 forbidden,Others,"Games, Books & Hobbies",Others,,
copper.pipe,copper. pipe,Home & Living,Home Appliances,,,
coloris bag,colorful bag,Women's Bags,Women's Bags,Women's Bags,,
topi jerami,straw hat,Fashion Accessories,Fashion Accessories,Fashion Accessories,Home & Living,
lotus's supermarket,lotus's supermarket,Groceries & Pets,Baby & Toys,,,
ocarina,ocarina,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",,
sunway lagoon ticket promo,sunway lagoon ticket promo,Tickets & Vouchers,Tickets & Vouchers,Tickets & Vouchers,,
waterproof paint,waterproof paint,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
sri gawa,sri gawa,Home & Living,Home & Living,Home & Living,,
harga skuter elektrik,electric scooter price,Sports & Outdoor,Baby & Toys,Baby & Toys,,
ubat tahan lama dan panjang,Long-lasting medicine,Health & Beauty,Health & Beauty,Health & Beauty,,
sudu penyukat,measuring spoon,Home & Living,Home & Living,Home & Living,,
y16zr modified,y16zr modified,Automotive,,Automotive,,
bag sekolah,school bag,Baby & Toys,Women's Bags,Women's Bags,Men's Bags & Wallets,
hush puppies luggage,hush puppies luggage,Travel & Luggage,Travel & Luggage,Travel & Luggage,,
wetfood royal canin,royal canin wet food,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
steering rack persona,steering rack persona,Automotive,Automotive,Automotive,,
sabun daia smart,daia smart soap,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
tile polish,tile polish,Home & Living,Home & Living,Groceries & Pets,,
dp to hdmi,dp to hdmi,Computer & Accessories,Computer & Accessories,Computer & Accessories,Computer & Accessories,
aladdin enjoy,aladdin enjoy,Mobile & Gadgets,Home Appliances,Home Appliances,Home Appliances,Home Appliances
wiper silicone,silicone wiper,Automotive,Automotive,Automotive,Automotive,
