Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
kisu hiraki,kisu hiraki,Food & Beverages,Food & Beverages,,,Food & Beverages
cny decoration 2022,cny decoration 2022,Home & Living,,Home & Living,,Home & Living
trt,trt,Women's Apparel,Mobile & Gadgets,,,Women's Apparel
chloe singapore,chloe singapore,Women's Bags,Beauty & Personal Care,,,Women's Bags
beanbag,beanbag,Home & Living,Home & Living,Home & Living,,Home & Living
innifree,innifree,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
shopeep,shopeep,Platform Terms (Lazada / Shopee),Fashion Accessories,Fashion Accessories,Fashion Accessories,Platform Terms (Lazada / Shopee)
cuberspace,cuberspace,"Toys, Kids & Babies","Toys, Kids & Babies",,,"Toys, Kids & Babies"
holland village bar,holland village bar,Lifestyle,,,,Lifestyle
ssd 1tb price,ssd 1tb price,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories,Computers & Peripherals
32 inch 4k monitor,32 inch 4k monitor,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
neck strap,neck strap,Cameras & Drones,Jewellery & Accessories,Mobile & Gadgets,Jewellery & Accessories,Cameras & Drones
kraft box singapore,kraft box singapore,Home & Living,Home & Living,Home & Living,,Home & Living
luggage singapore,luggage singapore,Travel & Luggage,Travel & Luggage,Travel & Luggage,,Travel & Luggage
ariston water heater,ariston water heater,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
holy communion elements,holy communion elements,Food & Beverages,,Food & Beverages,,Food & Beverages
lg singapore monitor,lg singapore monitor,Computers & Peripherals,,,,Computers & Peripherals
basket for bicycle,basket for bicycle,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
ka capsules,ka capsules,Home & Living,Home & Living,Home & Living,,Home & Living
seat cushion,seat cushion,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
java foldable bicycle singapore,java foldable bicycle singapore,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
power tracks,power tracks,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
xgimi projector,xgimi projector,Computers & Peripherals,Computers & Peripherals,,,Computers & Peripherals
window unit aircon,window unit aircon,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
ikea dustbin,ikea dustbin,Home & Living,Home & Living,,,Home & Living
laptop table for bed,laptop table for bed,Home & Living,Home & Living,,,Home & Living
cycle glove,cycle glove,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
microfiber towels,microfiber towels,Home & Living,Home & Living,Home & Living,,Home & Living
best durian cake singapore,best durian cake singapore,Food & Beverages,,,,Food & Beverages
plastic shoes cabinet,plastic shoes cabinet,Home & Living,Home & Living,Home & Living,,Home & Living
protein bottle shaker,protein bottle shaker,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
undermount kitchen sink,undermount kitchen sink,Home & Living,Home & Living,Home & Living,,Home & Living
zao cai mao,zao cai mao,Hobbies & Books,,Home & Living,,Hobbies & Books
1650 super,1650 super,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
c type to dp,c type to dp,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories,Computers & Peripherals
sofa foldable,sofa foldable,Home & Living,Home & Living,"Toys, Kids & Babies",,Home & Living
40inch tv,40inch tv,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
batik shirt,batik shirt,Men's Wear,Men's Wear,Men's Wear,Men's Wear,Men's Wear
m1 maxx,m1 maxx,Mobile & Gadgets,"Dining, Travel & Services","Dining, Travel & Services",Home Appliances,Mobile & Gadgets
safety mark singapore,safety mark singapore,Platform Terms (Lazada / Shopee),,,,Platform Terms (Lazada / Shopee)
door magnets,door magnets,Home & Living,Home & Living,,,Home & Living
singapore online shopping sites,singapore online shopping sites,Platform Terms (Lazada / Shopee),,,,Platform Terms (Lazada / Shopee)
tolly joy,tolly joy,Home & Living,"Toys, Kids & Babies",,,Home & Living
airpod pro case singapore,airpod pro case singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
adjustable spanners,adjustable spanners,Home & Living,Home & Living,Home & Living,,Home & Living
dip bars,dip bars,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
blackout blind,blackout blind,Home & Living,Home & Living,Home & Living,,Home & Living
hair curler singapore,hair curler singapore,Home Appliances,Beauty & Personal Care,,,Home Appliances
watch digital,watch digital,Watches,Watches,,,Watches
brbantia,brbantia,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
crotchet yarn,crotchet yarn,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
tempur pillow,tempur pillow,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
chinese new year decorations supplier singapore,chinese new year decorations supplier singapore,Home & Living,,,,Home & Living
study table lamp,study table lamp,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
shiok garden,shiok garden,"Dining, Travel & Services",Women Shoes,"Tickets, Vouchers & Services","Tickets, Vouchers & Services","Dining, Travel & Services"
comforter,comforter,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
office chair singapore sale,office chair singapore sale,Home & Living,,,,Home & Living
remote control ceiling fan,remote control ceiling fan,Home Appliances,Home Appliances,Home & Living,,Home Appliances
tiled carpet,tiled carpet,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
folding mountain bike,folding mountain bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
stress ball,stress ball,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
sports jackets,sports jackets,Sports & Outdoors,Men's Wear,Women's Apparel,,Sports & Outdoors
smart watch price singapore,smart watch price singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
fidget packs,fidget packs,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",,"Toys, Kids & Babies"
nike waffle one,nike waffle one,Sports & Outdoors,,Sports & Outdoors,,Sports & Outdoors
japan xx,japan xx,Others,,,,Others
toilet cleaner liquid,toilet cleaner liquid,Home & Living,,Home & Living,,Home & Living
teapot sets,teapot sets,Home & Living,Home & Living,Home & Living,,Home & Living
ice making fridge,ice making fridge,Home Appliances,,Home & Living,,Home Appliances
moccona coffee,moccona coffee,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
scoop singapore,scoop singapore,Others,,Women's Shoes,,Others
backpack for cats,backpack for cats,Pet Food & Supplies,Pet Food & Supplies,,,Pet Food & Supplies
skateboard wheels,skateboard wheels,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
laundry bag,laundry bag,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
hdmi to usbc,hdmi to usbc,Computers & Peripherals,Computers & Peripherals,,,Computers & Peripherals
long sleeve blouses,long sleeve blouses,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
best multi cooker singapore,best multi cooker singapore,Home Appliances,,,,Home Appliances
spanner box,spanner box,Home & Living,Home & Living,,,Home & Living
apple airpods pro 2,apple airpods pro 2,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
