Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
kisu hiraki,kisu hiraki,Food & Beverages,Food & Beverages,,
cny decoration 2022,cny decoration 2022,Home & Living,,Home & Living,
trt,trt,Women's Apparel,Mobile & Gadgets,,
chloe singapore,chloe singapore,Women's Bags,Beauty & Personal Care,,
beanbag,beanbag,Home & Living,Home & Living,Home & Living,
innifree,innifree,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
shopeep,shopeep,Platform Terms (Lazada / Shopee),Fashion Accessories,Fashion Accessories,Fashion Accessories
cuberspace,cuberspace,"Toys, Kids & Babies","Toys, Kids & Babies",,
holland village bar,holland village bar,Lifestyle,,,
ssd 1tb price,ssd 1tb price,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
32 inch 4k monitor,32 inch 4k monitor,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
neck strap,neck strap,Cameras & Drones,Jewellery & Accessories,Mobile & Gadgets,Jewellery & Accessories
kraft box singapore,kraft box singapore,Home & Living,Home & Living,Home & Living,
luggage singapore,luggage singapore,Travel & Luggage,Travel & Luggage,Travel & Luggage,
ariston water heater,ariston water heater,Home Appliances,Home Appliances,Home Appliances,
holy communion elements,holy communion elements,Food & Beverages,,Food & Beverages,
lg singapore monitor,lg singapore monitor,Computers & Peripherals,,,
basket for bicycle,basket for bicycle,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
ka capsules,ka capsules,Home & Living,Home & Living,Home & Living,
seat cushion,seat cushion,Home & Living,Home & Living,Home & Living,Home & Living
java foldable bicycle singapore,java foldable bicycle singapore,Sports & Outdoors,Sports & Outdoors,,
power tracks,power tracks,Home Appliances,Home Appliances,Home Appliances,
xgimi projector,xgimi projector,Computers & Peripherals,Computers & Peripherals,,
window unit aircon,window unit aircon,Home Appliances,Home Appliances,Home Appliances,
ikea dustbin,ikea dustbin,Home & Living,Home & Living,,
laptop table for bed,laptop table for bed,Home & Living,Home & Living,,
cycle glove,cycle glove,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
microfiber towels,microfiber towels,Home & Living,Home & Living,Home & Living,
best durian cake singapore,best durian cake singapore,Food & Beverages,,,
plastic shoes cabinet,plastic shoes cabinet,Home & Living,Home & Living,Home & Living,
protein bottle shaker,protein bottle shaker,Sports & Outdoors,Sports & Outdoors,,
undermount kitchen sink,undermount kitchen sink,Home & Living,Home & Living,Home & Living,
zao cai mao,zao cai mao,Hobbies & Books,,Home & Living,
1650 super,1650 super,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
c type to dp,c type to dp,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
sofa foldable,sofa foldable,Home & Living,Home & Living,"Toys, Kids & Babies",
40inch tv,40inch tv,Home Appliances,Home Appliances,Home Appliances,
batik shirt,batik shirt,Men's Wear,Men's Wear,Men's Wear,Men's Wear
m1 maxx,m1 maxx,Mobile & Gadgets,"Dining, Travel & Services","Dining, Travel & Services",Home Appliances
safety mark singapore,safety mark singapore,Platform Terms (Lazada / Shopee),,,
door magnets,door magnets,Home & Living,Home & Living,,
singapore online shopping sites,singapore online shopping sites,Platform Terms (Lazada / Shopee),,,
tolly joy,tolly joy,Home & Living,"Toys, Kids & Babies",,
airpod pro case singapore,airpod pro case singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
adjustable spanners,adjustable spanners,Home & Living,Home & Living,Home & Living,
dip bars,dip bars,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
blackout blind,blackout blind,Home & Living,Home & Living,Home & Living,
hair curler singapore,hair curler singapore,Home Appliances,Beauty & Personal Care,,
watch digital,watch digital,Watches,Watches,,
brbantia,brbantia,Home & Living,Home & Living,Home & Living,Home & Living
crotchet yarn,crotchet yarn,Home & Living,Home & Living,Home & Living,Home & Living
tempur pillow,tempur pillow,Home & Living,Home & Living,Home & Living,Home & Living
chinese new year decorations supplier singapore,chinese new year decorations supplier singapore,Home & Living,,,
study table lamp,study table lamp,Home & Living,Home & Living,Home & Living,Home & Living
shiok garden,shiok garden,"Dining, Travel & Services",Women Shoes,"Tickets, Vouchers & Services","Tickets, Vouchers & Services"
comforter,comforter,Home & Living,Home & Living,Home & Living,Home & Living
office chair singapore sale,office chair singapore sale,Home & Living,,,
remote control ceiling fan,remote control ceiling fan,Home Appliances,Home Appliances,Home & Living,
tiled carpet,tiled carpet,Home & Living,Home & Living,Home & Living,Home & Living
folding mountain bike,folding mountain bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
stress ball,stress ball,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
sports jackets,sports jackets,Sports & Outdoors,Men's Wear,Women's Apparel,
smart watch price singapore,smart watch price singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
fidget packs,fidget packs,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",
nike waffle one,nike waffle one,Sports & Outdoors,,Sports & Outdoors,
japan xx,japan xx,Others,,,
toilet cleaner liquid,toilet cleaner liquid,Home & Living,,Home & Living,
teapot sets,teapot sets,Home & Living,Home & Living,Home & Living,
ice making fridge,ice making fridge,Home Appliances,,Home & Living,
moccona coffee,moccona coffee,Food & Beverages,Food & Beverages,Food & Beverages,
scoop singapore,scoop singapore,Others,,Women's Shoes,
backpack for cats,backpack for cats,Pet Food & Supplies,Pet Food & Supplies,,
skateboard wheels,skateboard wheels,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
laundry bag,laundry bag,Home & Living,Home & Living,Home & Living,Home & Living
hdmi to usbc,hdmi to usbc,Computers & Peripherals,Computers & Peripherals,,
long sleeve blouses,long sleeve blouses,Women's Apparel,Women's Apparel,Women's Apparel,
best multi cooker singapore,best multi cooker singapore,Home Appliances,,,
spanner box,spanner box,Home & Living,Home & Living,,
apple airpods pro 2,apple airpods pro 2,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
slippers,slippers,Women's Shoes,Women's Shoes,Women's Shoes,Men's Shoes
milk storage bag,milk storage bag,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
chng kae,chng kae,Food & Beverages,Food & Beverages,Food & Beverages,
male cheongsam,male cheongsam,Men's Wear,Men's Wear,,
gss 2022,gss 2022,Platform Terms (Lazada / Shopee),Women Bags,Beauty,Beauty
luosifen singapore,luosifen singapore,Food & Beverages,,,
drill battery,drill battery,Home & Living,Home & Living,Mobile & Gadgets,
cheetos flamin hot,cheetos flamin hot,Food & Beverages,Food & Beverages,,
3060 price,3060 price,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
mattress memory foam,mattress memory foam,Home & Living,Home & Living,,
champion sports,champion sports,Sports & Outdoors,Men's Wear,,
toilet mirror,toilet mirror,Home & Living,Home & Living,Home & Living,Home & Living
mens sunglasses,mens sunglasses,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,
ps5 digital edition singapore,ps5 digital edition singapore,Video Games,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
bicycle front basket,bicycle front basket,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
the coopidea,the coopidea,Mobile & Gadgets,,Mobile & Gadgets,
jumpsuit for men,jumpsuit for men,Men's Wear,Kids Fashion,Sports & Outdoors,
ps4 pro,ps4 pro,Video Games,Video Games,Video Games,
rgb light strip,rgb light strip,Home & Living,Home & Living,Home & Living,
yuzumi,yuzumi,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
diary book,diary book,Home & Living,Home & Living,Home & Living,Home & Living
ampoule hair,ampoule hair,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
omni frozen,omni frozen,Food & Beverages,Food & Beverages,Food & Beverages,
ribena jelly drink,ribena jelly drink,Food & Beverages,Food & Beverages,Food & Beverages,
rio drinks,rio drinks,Food & Beverages,Food & Beverages,Food & Beverages,
baggie's,baggie's,Food & Beverages,Men Clothes,,
straw tumbler,straw tumbler,Home & Living,Home & Living,Home & Living,
premium sg,premium sg,Mobile & Gadgets,Home & Living,Mobile & Gadgets,
k380 logitech keyboard,k380 logitech keyboard,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
cctv camera wireless,cctv camera wireless,Cameras & Drones,Cameras & Drones,Cameras & Drones,
goo,goo,"Toys, Kids & Babies",Home & Living,Home & Living,
mx keys,mx keys,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
satisfyer pro 2,satisfyer pro 2,Health & Wellness,Miscellaneous,Miscellaneous,
panini maker,panini maker,Home Appliances,Home & Living,Home & Living,
bakers oven,bakers oven,Food & Beverages,Home & Living,Home & Living,
where to watch f1 in singapore,where to watch f1 in singapore,Lifestyle,,,
curtain blind,curtain blind,Home & Living,Home & Living,Home & Living,Home & Living
aape singapore,aape singapore,Mobile & Gadgets,,,
portable kettle,portable kettle,Home Appliances,Home Appliances,Home Appliances,Home Appliances
crocs online singapore,crocs online singapore,Men's Shoes,,,
parfume,parfume,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
timbuk2 backpack,timbuk2 backpack,Men's Bags,Men's Bags,Men's Bags,
hacipupu,hacipupu,Hobbies & Books,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
hair clip,hair clip,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories
ceiling fan singapore with light,ceiling fan singapore with light,Home Appliances,,,
chandelier lights,chandelier lights,Home & Living,Home & Living,Home & Living,
bbq portable grill,bbq portable grill,Home & Living,Home & Living,Sports & Outdoors,
hdmi vga adapter,hdmi vga adapter,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals
philip air purifier,philip air purifier,Home Appliances,Home Appliances,Home Appliances,Home Appliances
crampon,crampon,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
nail filer,nail filer,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
seahorse outlet in singapore,seahorse outlet in singapore,Home & Living,,,
sarasa pens,sarasa pens,Home & Living,Home & Living,Home & Living,
burga phone case,burga phone case,Mobile & Gadgets,Mobile & Gadgets,,
anna nucci sandals,anna nucci sandals,Women's Shoes,,Men's Shoes,
dyson singapore hair dryer,dyson singapore hair dryer,Home Appliances,Beauty,Beauty,Beauty
dyson filter,dyson filter,Home Appliances,Home Appliances,Home Appliances,Home Appliances
lato lato,lato lato,"Toys, Kids & Babies",,Mom & Baby,Mom & Baby
mellower coffe,mellower coffe,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
massage osim,massage osim,Health & Wellness,Home & Living,Home & Living,
&honey shampoo,&honey shampoo,Beauty & Personal Care,Beauty & Personal Care,,
s23,s23,Mobile & Gadgets,Sports & Outdoors,,
prom dress singapore,prom dress singapore,Women's Apparel,Women Clothes,Women Clothes,Women Clothes
carhartt sling bag,carhartt sling bag,Men's Bags,Men's Bags,Men's Bags,Men's Bags
hot wheel,hot wheel,"Toys, Kids & Babies",Hobbies & Books,"Toys, Kids & Babies",
tank water,tank water,Home & Living,Home & Living,,
vida drinks,vida drinks,Food & Beverages,,,
lg gram+,lg gram+,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
tufting gun,tufting gun,Home & Living,Home Appliances,Home Appliances,
"42"" tv","42"" tv",Home Appliances,Home Appliances,Home Appliances,
kalguksu singapore,kalguksu singapore,Food & Beverages,Stationery,Food & Beverages,Stationery
welcia-bhg,welcia-bhg,Health & Wellness,,Beauty & Personal Care,
posca marker,posca marker,Home & Living,Home & Living,Home & Living,
samsung tv remote control,samsung tv remote control,Home Appliances,Home Appliances,Home Appliances,Home Appliances
dyson v11 singapore,dyson v11 singapore,Home Appliances,,,
frozt,frozt,Food & Beverages,Food & Beverages,Food & Beverages,
yam mooncake 2022,yam mooncake 2022,Food & Beverages,,,
durians near me,durians near me,Food & Beverages,,,
www.lazada.singapore,www.lazada.singapore,Platform Terms (Lazada / Shopee),,,
nike sale,nike sale,Men's Shoes,Men's Shoes,Men's Wear,
soy milk maker,soy milk maker,Home Appliances,Home Appliances,Home Appliances,
asyura paste,asyura paste,Food & Beverages,,Food & Beverages,
flexicure cream singapore,flexicure cream singapore,Health & Wellness,Health,Health,Beauty
oreo blackpink singapore,oreo blackpink singapore,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
merrell hiking shoes,merrell hiking shoes,Men's Shoes,Sports & Outdoors,Sports & Outdoors,
russet bag japan,russet bag japan,Women's Bags,Women Bags,Women Bags,Women Bags
crochet kit,crochet kit,Hobbies & Books,Home & Living,Home & Living,Home & Living
korean sim card singapore,korean sim card singapore,Mobile & Gadgets,,,
beats studio buds +,beats studio buds +,Mobile & Gadgets,Mobile & Gadgets,Audio,Audio
olight singapore,olight singapore,Sports & Outdoors,,,
lilit,lilit,Women's Apparel,Women's Apparel,Women's Apparel,
butane gas canister,butane gas canister,Home & Living,Sports & Outdoors,Home & Living,
nuyolk,nuyolk,Food & Beverages,Food & Beverages,,
phytopecia shampoo,phytopecia shampoo,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
advent calendar 2022 singapore,advent calendar 2022 singapore,Home & Living,,,
limited edt sg,limited edt sg,Home & Living,Beauty,Beauty,Beauty
mari bank,mari bank,Platform Terms (Lazada / Shopee),Hobbies & Collections,Gaming & Consoles,Gaming & Consoles
minds cafe,minds cafe,Lifestyle,Food & Beverages,Hobbies & Books,
nokia wifi beacon 2,nokia wifi beacon 2,Computers & Peripherals,Computers & Peripherals,,
pheromone perfume,pheromone perfume,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
recoil sg,recoil sg,Men's Wear,Sports & Outdoors,,
resort world cruise,resort world cruise,Lifestyle,"Tickets, Vouchers & Services","Tickets, Vouchers & Services",Mom & Baby
sonny angel,sonny angel,Hobbies & Books,"Toys, Kids & Babies","Toys, Kids & Babies",
t100 karaoke,t100 karaoke,Home Appliances,Audio,Audio,Audio
haerin,haerin,Hobbies & Books,,Hobbies & Collections,
nothing phone 2 singapore,nothing phone 2 singapore,Mobile & Gadgets,,,
ang mo supermarket,ang mo supermarket,Home & Living,,Food & Beverages,
3ce lipstick,3ce lipstick,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
coklat ferrero,coklat ferrero,Food & Beverages,,Food & Beverages,
ball and chain bag,ball and chain bag,Women's Bags,Hobbies & Collections,Fashion Accessories,Women Bags
monsgeek m1,monsgeek m1,Computers & Peripherals,,Computers & Accessories,
dried vegetables,dried vegetables,Food & Beverages,Food & Beverages,Food & Beverages,
biodance collagen mask,biodance collagen mask,Beauty & Personal Care,Beauty,Beauty,Beauty
olive tin,olive tin,Beauty & Personal Care,Food & Beverages,Beauty & Personal Care,
way of wade 10,way of wade 10,Others,,Sports & Outdoors,
canva pro,canva pro,"Dining, Travel & Services",Men's Wear,Computers & Peripherals,
seiko nautilus,seiko nautilus,Watches,Watches,Watches,Watches
earfun,earfun,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
scarlett supermarket near me,scarlett supermarket near me,Food & Beverages,,,
revosit,revosit,Health & Wellness,Health & Wellness,Health & Wellness,
starbuck blackpink,starbuck blackpink,Home & Living,Home & Living,Home & Living,
anvers,anvers,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Sports & Outdoors
jia vin bakery,jia vin bakery,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
kebaya merah,kebaya merah,Women's Apparel,Women's Apparel,Women's Apparel,
keelat,keelat,Home Appliances,Home Appliances,Sports & Outdoors,
black friday cyber monday,black friday cyber monday,Platform Terms (Lazada / Shopee),Home & Living,,
mustafa online,mustafa online,Platform Terms (Lazada / Shopee),,Home & Living,
nfl jersey,nfl jersey,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
new balance 480,new balance 480,Men's Shoes,Women's Shoes,Sports & Outdoors,
haus labs,haus labs,Beauty & Personal Care,Beauty & Personal Care,,
shower holder,shower holder,Home & Living,Home & Living,Home & Living,Home & Living
apple iphone 14,apple iphone 14,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
non camera smartphone,non camera smartphone,Mobile & Gadgets,Cameras & Drones,,
seahorse mattress,seahorse mattress,Home & Living,Home & Living,Home & Living,Home & Living
sea aquarium tickets,sea aquarium tickets,"Dining, Travel & Services","Dining, Travel & Services","Dining, Travel & Services",
