Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
101,101,女生衣著,Sports & Outdoors,Tickets & Services,
9t pro,9t pro,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
agatha,agatha,女生包包/精品,Women Accessories,Women Bags,
all in one,all in one,3C與筆電,Health & Beauty,Health & Beauty,
ama s860,ama s860,汽機車零件百貨,Motors,Motors,
asus zenfone 5,asus zenfone 5,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
aukey,aukey,3C與筆電,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
balmuda,balmuda,家電影音,Home Electronic,Home Electronic,
blender bottle,blender bottle,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
corsair,corsair,3C與筆電,Hardware & 3C,Hardware & 3C,
decamax,decamax,3C與筆電,Home Electronic,,
dp轉hdmi,dp to hdmi,3C與筆電,Hardware & 3C,,
fleshlight,fleshlight,其他類別,Everything Else,Everything Else,
fossil,fossil,女生包包/精品,Men's Bags& Accessories,Men's Bags& Accessories,
garmin instinct,garmin instinct,手機平板與周邊,Mobile & Gadgets,Hardware & 3C,
giordano,giordano,男生衣著,Men's Apparel,Women's Apparel,
gucci,gucci,女生包包/精品,Women Bags,Women Bags,Men's Bags& Accessories
hypervolt,hypervolt,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,
i5-1035g1,i5-1035g1,3C與筆電,Hardware & 3C,Hardware & 3C,
intel ssd,intel ssd,3C與筆電,Hardware & 3C,Hardware & 3C,
ip cam,ip cam,3C與筆電,Hardware & 3C,Hardware & 3C,
k380,k380,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
katfile,katfile,遊戲王,Tickets & Services,Hardware & 3C,Hardware & 3C
lee,lee,女生衣著,Men's Apparel,Men's Apparel,
minecraft 指令,minecraft instructions,書籍及文創商品,Books,Books,
nubra,nubra,女生衣著,Women's Apparel,Women's Apparel,Women's Apparel
pchome.megatime.com.tw,pchome.megatime.com.tw,Platform Terms ( Shopee / Momo),,,
persil,persil,居家生活,Home & Living,Home & Living,Home & Living
phome,phome,Platform Terms ( Shopee / Momo),Mobile & Gadgets,,
racing s 150,racing s 150,汽機車零件百貨,Motors,Motors,Motors
ricardo milos,ricardo milos,男生衣著,,Men's Apparel,
ssd 512g,ssd 512g,3C與筆電,Hardware & 3C,Hardware & 3C,
suunto,suunto,手機平板與周邊,Sports & Outdoors,Sports & Outdoors,
switch 保護殼,switch protective case,遊戲王,Game Kingdom,Game Kingdom,Game Kingdom
xbox360手把,xbox360 handle,遊戲王,Game Kingdom,Game Kingdom,
zenfone 6,zenfone 6,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
