Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
netbook,Computadores e Acessórios,Computing,Computing,
212 masculino,Beleza,Health & Beauty,Shoes,
jogo de cozinha,Casa e Decoração,Home & Living,Home & Living,Home & Living
teclado musical,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,Toys & Hobbies
timer digital,Others,Home & Living,Home & Living,Home Appliance
mini berço,Mãe e Bebê,Babies,Babies,
escrivaninha,Casa e Decoração,Home & Living,Home & Living,Home & Living
hornet 2012,Others,Vehicle Accessories,Vehicle Accessories,
mini retifica,Casa e Decoração,Home & Living,Home & Living,
banquetas altas,Casa e Decoração,Home & Living,Home & Living,
telhas de pvc,Others,Home & Living,Women Clothes,
colchão solteiro,Casa e Decoração,Home & Living,Sports & Fitness,
mercadlivre,Others,,,
narguilé,Others,Sports & Fitness,Home & Living,Home & Living
memoria ddr3 4gb,Computadores e Acessórios,Computing,Computing,
escaleta,Others,Toys & Hobbies,Toys & Hobbies,Toys & Hobbies
samsung a20,Esportes e Lazer,Mobile & Accessories,Mobile & Accessories,
moedor de café,Casa e Decoração,Home & Living,Home & Living,Home & Living
celular samsung,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories
j4,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,
ar split 110v,Eletroportáteis,Home & Living,,
cama casal,Casa e Decoração,Home & Living,Home & Living,
chopeira eletrica,Others,,Home & Living,
projetor para celular,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories
americana.com,Platform Terms (Shopee / Mercado),,Home & Living,
aquecedor solar,Casa e Decoração,Home & Living,Home Appliance,
samsung a70 preço,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,
barra de led tv lg,Áudio,Electronics,Electronics,
cafeteira inox,Eletroportáteis,Home Appliance,Home & Living,
caderno argolado,Papelaria,Stationery,Stationery,
limpa fossa,Casa e Decoração,Home & Living,Home & Living,
cdj,Áudio,Electronics,Electronics,
central de manga,Áudio,Men Clothes,,
