Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
vario 150 old,Otomotif,Automotive,Automotive,
kuas,Others,Beauty & Care,Beauty & Care,Beauty & Care
al qur'an kecil,Buku & Alat Tulis,Stationery & Books,Stationery & Books,
sheeby,Kesehatan,,Beauty & Care,
anti gores hp,Handphone & Aksesoris,Mobile & Accessories,Mobile & Accessories,
toko pancing terdekat dari lokasi saya,Others,Sports & Outdoors,Sports & Outdoors,
remini web,Others,Computers & Accessories,Books & Magazines,Books & Magazines
dress wisuda elegan,Pakaian Wanita,Women Clothes,,
baju adat aceh,Fashion Bayi & Anak,Women Clothes,Women Clothes,
poster marhaban ya ramadhan,Others,Home & Living,,
pintu aluminium kamar mandi,Perlengkapan Rumah,Home & Living,Home & Living,
manga18,Others,,,
realing,Others,Home & Living,,
yamaha motor,Otomotif,Automotive,Automotive,
zircon s,Others,Fashion Accessories,,
sennheiser momentum.4,Handphone & Aksesoris,,,
zakat mal,Others,Stationery & Books,,Stationery & Books
pepe jeans pepe hitam putih,Others,Beauty,Beauty,Beauty
pisang susu,Makanan & Minuman,Food & Beverages,Home & Living,
lagu religi islam,Non-Ecommerce Related,Hobby & Collection,,
adidas originals s,Sepatu Pria,Men Shoes,Mobile & Gadgets,Mobile & Gadgets
ldplayer,Others,Electronics,,
obat jerawat ampuh,Kesehatan,Beauty & Care,Beauty & Care,Beauty & Care
kemeja batik kombinasi polos pria modern lengan panjang,Pakaian Pria,Men Clothes,Men Clothes,Men Clothes
doa qunut dibaca setelah,Non-Ecommerce Related,,,
berazzer,Others,,Vouchers,
semir miranda,Serba Serbi,Beauty & Care,Beauty & Care,Beauty & Care
shock ohlins original,Others,Automotive,Automotive,
umpan pancing terdekat,Olahraga & Outdoor,Sports & Outdoor,Sports & Outdoor,
cat waterproof,Perlengkapan Rumah,Home & Living,Home & Living,
safron,Others,Beauty & Care,Beauty & Care,Beauty & Care
plastik packing,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
kulit pangsit,Others,Food & Beverages,Food & Beverages,Food & Beverages
lampu,Elektronik,Electronics,Electronics,Electronics
meteran,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
rx king,Otomotif,Automotive,Automotive,Automotive
al isra 25,Non-Ecommerce Related,Books & Magazines,Muslim Fashion,Muslim Fashion
al isra ayat 25,Non-Ecommerce Related,,,
asus tuf gaming a15,Komputer & Aksesoris,Computer & Accessories,Computer & Accessories,
film 2023,Non-Ecommerce Related,Hobby & Collection,Photography,
harga cartridge pod,Others,Electronics,Electronics,
harga oli gardan,Otomotif,Automotive,Automotive,
harga reng baja ringan 6 meter,Perlengkapan Rumah,Home & Living,Home & Living,Home & Living
harga semangka,Makanan & Minuman,Food & Beverages,Home & Living,
harga skotlet motor,Otomotif,Automotive,Automotive,
iphone 11 pro max harga,Handphone & Aksesoris,Mobile & Accessories,Mobile & Accessories,
ketokonazole harga,Others,Health,Health,Health
klasemen piala dunia 2022,Non-Ecommerce Related,Stationery,Home & Living,Home & Living
lenovo v14 g2,Handphone & Aksesoris,Computer & Accessories,Computer & Accessories,
nibras terbaru 2023,Fashion Muslim,Muslim Fashion,Muslim Fashion,Muslim Fashion
buket wisuda cowok,Souvenir & Pesta,Souvenir & Party Supplies,Souvenir & Party Supplies,
jnt economy,Others,Health,,
model baju pesta pernikahan terbaru,Pakaian Wanita,Muslim Fashion,,
harga rice paper,Perlengkapan Rumah,Home & Living,Food & Beverages,
emco me & my charmz,Others,Hobby & Collection,Hobby & Collection,
gamis brokat pesta pernikahan,Pakaian Wanita,Muslim Fashion,Muslim Fashion,
pembersih wajah,Perawatan & Kecantikan,Beauty & Care,Beauty & Care,Beauty & Care
model tunik batik,Pakaian Wanita,Women Clothes,Women Clothes,
jasa sadap wa,Others,,Others,
lampiontogel,Others,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
defan,Others,Muslim Fashion,,
model baju gamis untuk menghadiri acara wisuda,Fashion Muslim,Muslim Fashion,Muslim Fashion,Muslim Fashion
foto pratama arhan,Hobi & Koleksi,Home & Living,Hobbies & Collections,Home & Living
captail,Others,,Beauty & Care,
lagu coldplay,Non-Ecommerce Related,,Men Clothes,
mikuni,Others,Automotive,Automotive,
oppo find n2 flip harga,Handphone & Aksesoris,Mobile & Gadgets,Home & Living,Home & Living
al isra 17 25,Others,,,
an nahl ayat 114,Non-Ecommerce Related,,,
harga keramik 60x60 per dus,Perlengkapan Rumah,Home & Living,,
pompa celup,Others,Hobby & Collection,Home & Living,Hobby & Collection
niat tayamum dan tata caranya,Others,,,
al ma'arij,Others,Stationery & Books,,
harga wafer tanggo,Makanan & Minuman,Food & Beverages,,
unsur unsur terpenting dari sebuah seni tari adalah ......,Non-Ecommerce Related,,,
realme c35 ram 8,Handphone & Aksesoris,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
weight herbal,Kesehatan,Health,,
skincare glam shine,Perawatan & Kecantikan,Beauty & Care,Beauty & Care,
cooler box,Elektronik,Home & Living,Home & Living,Home & Living
memory card hp,Handphone & Aksesoris,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories
buket snack dan uang,Souvenir & Pesta,Souvenir & Party Supplies,Souvenir & Party Supplies,
kemeja hitam wanita,Pakaian Wanita,Women Clothes,Women Clothes,Women Clothes
harga topi,Aksesoris Fashion,Fashion Accessories,Fashion Accessories,
salap cina,Kesehatan,Health,Health,Beauty & Care
