Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
balenciaga t shirt,Men's Clothing,Men Clothes,Men Clothes,Men Clothes
allano amway,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty
backdrop hari raya decoration,Home & Living,Home & Living,Home & Living,Home & Living
bonia watch,Watches,Watches,Watches,
babycarrier,Baby & Toys,Baby & Toys,Baby & Toys,
shampoo tresemme,Health & Beauty,Health & Beauty,Health & Beauty,
wall paper dapur,Home & Living,Home & Living,Home & Living,Home & Living
voltbar pod,Mobile & Gadgets,Home Appliances,Mobile & Gadgets,Mobile & Gadgets
sanitising spray,Health & Beauty,Health & Beauty,Health & Beauty,
blender fruit,Home Appliances,Home Appliances,Home Appliances,Home Appliances
bean boozled,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets
butter cookies kjeldsens,Groceries & Pets,Groceries & Pets,Groceries & Pets,
cases for iphone 6 plus,Mobile & Gadgets,,Mobile & Accessories,
doa nabi sulaiman,"Games, Books & Hobbies",Home & Living,Home & Living,
拇指 琴,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",
ayu borneo,Tickets & Vouchers,Home & Living,,
peti ais smeg,Home Appliances,Home Appliances,Home Appliances,
32gb of ram,Computer & Accessories,Computer & Accessories,Computer & Accessories,
disinfectant spray gun,Health & Beauty,Home & Living,Home Appliances,Home Appliances
babby carrier,Baby & Toys,Baby & Toys,Baby & Toys,
wafak,Others,,Health & Beauty,
bag boxing,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,
g shock frogman,Watches,Watches,Watches,
changing mats,Baby & Toys,Baby & Toys,Baby & Toys,
bedsheet set,Home & Living,Home & Living,Home & Living,
body shaper for men,Men's Clothing,Men Clothes,Health & Beauty,
buah kundang muda,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets
cartoon hentai,"Games, Books & Hobbies",Men Clothes,Home & Living,
racun rumput paling kuat,Home & Living,,Home & Living,
www xxx com hd,Others,,,
gshock,Watches,Watches,Watches,Watches
price of 3d printer,Computer & Accessories,,,
kamus bi ke bm oxford,"Games, Books & Hobbies",Books & Magazines,Stationery,Stationery
freegift untuk customer,Others,Health & Beauty,,
mattress pocket spring,Home & Living,Home & Living,Home & Living,
永生花,Home & Living,Home & Living,Home & Living,
matress covers,Home & Living,Home & Living,Home & Living,
contoh slip gaji,Home & Living,Computers & Accessories,Computers & Accessories,Computers & Accessories
honda civic fe,Automotive,,Automotive,
susu dutchlady coklat,Groceries & Pets,Baby & Toys,Baby & Toys,
tv malaysia,Home Appliances,Home Appliances,Mobile & Accessories,
big boops,Others,Women's Bags,,
xha,Others,Sports & Outdoor,,
vivo watch,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,
panda shop,Home & Living,Men's Bags & Wallets,Health & Beauty,
myvi disc brake,Automotive,Automotive,Automotive,
rayban malaysia,Fashion Accessories,Fashion Accessories,,
红天机,"Games, Books & Hobbies","Games, Books & Hobbies",,
dairy milk,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets
yts1,Home & Living,,,
rantai tangan,Fashion Accessories,Fashion Accessories,Fashion Accessories,Fashion Accessories
design emas terkini,Fashion Accessories,,Fashion Accessories,
dior lipstick,Health & Beauty,Health & Beauty,Health & Beauty,
mens leather sandals,Men's Shoes,Men Shoes,,
spray car paint,Automotive,Automotive,Automotive,
printer receipt,Computer & Accessories,Computer & Accessories,Computer & Accessories,
milo kosong,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets
fake teksi,Others,,Health & Beauty,
jav tv,Home Appliances,Home Appliances,Home Appliances,
ginger bentong,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets
year 5 english textbook,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",
mooncake halal,Groceries & Pets,Groceries & Pets,Groceries & Pets,
color shampoo,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty
mido,Watches,Watches,Watches,
aluminium ladders,Home & Living,Home & Living,Home & Living,
tempered glass matte,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,
bilibili anime,"Games, Books & Hobbies","Games, Books & Hobbies",,
lazadalazada vip,Platform Terms (Lazada/Shopee),,,
ace notebook,Computer & Accessories,Computer & Accessories,"Games, Books & Hobbies",
