"Keyword","Category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"zoclo vinilico","Others","Automobiles","Automobiles","Automobiles"
"encendedores electricos","Hogar y Vida","Mobile & Gadgets","Home & Living",
"maquina de coser brother","Electrodomésticos","Home Appliances","Women Clothes","Women Clothes"
"poste de luz","Hogar y Vida","Home & Living","Home & Living","Home & Living"
"ropa interior para hombre","Ropa de Hombre","Men Clothes","Men Clothes",
"gorra de animalitos","Accesorios de Moda","Fashion Accessories","Fashion Accessories","Stationery"
"wafflera","Electrodomésticos","Home Appliances","Home Appliances","Home Appliances"
"botas dr martens","Calzado de Hombre","Women Shoes","Women Shoes",
"moto 250","Others","Motorcycles","Sports & Outdoors","Sports & Outdoors"
"posture doctor precio","Salud",,,
"carritos montables para niñas","Madre y Bebé","Audio","Stationery","Stationery"
"cojines decorativos","Hogar y Vida","-","-",
"poco m4 pro 5g","Celulares y Gadgets","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"xiaomi poco x4 pro 5g","Celulares y Gadgets","Mobile & Gadgets","Audio","Audio"
"economico centros de mesa primera comunion","Hogar y Vida",,,
"juguetes de bob esponja","Juguetes y Hobbies","Toys & Hobbies","Toys & Hobbies",
"pulsar 250","Others","Motorcycles","Motorcycles","Motorcycles"
"simi colageno precio","Salud",,,
"macallan 12","Alimentos y Bebidas","Mobile & Gadgets","Beauty","Beauty"
"skins","Others","Beauty","Mobile & Gadgets",
"britani","Salud","Women Clothes","Women Clothes","Women Clothes"
"honda navi","Others","Automobiles","Motorcycles","Motorcycles"
"chevy 2004","Others","Automobiles","Automobiles","Automobiles"
"samsung galaxy buds pro","Celulares y Gadgets","Mobile & Gadgets","Audio","Mobile & Gadgets"
"maquillaje","Belleza","Beauty","Beauty","Beauty"
"ssd","Computación","Computing","Computing",
"kayak","Deportes y Fitness",,"-",
"fold a step precio","Hogar y Vida",,,
"cuanto mide un minion","Others",,,
"porner","Libros y Revistas",,,
"magic mixes","Juguetes y Hobbies","Mobile & Gadgets","Home & Living","Home & Living"
