epcoh: 1; train acc: 32.79%; test acc: 31.64%
epcoh: 2; train acc: 45.26%; test acc: 42.82%
epcoh: 3; train acc: 56.37%; test acc: 53.36%
epcoh: 4; train acc: 64.20%; test acc: 57.91%
epcoh: 5; train acc: 71.16%; test acc: 62.91%
epcoh: 6; train acc: 76.83%; test acc: 65.73%
epcoh: 7; train acc: 80.95%; test acc: 68.00%
epcoh: 8; train acc: 85.04%; test acc: 71.00%
epcoh: 9; train acc: 87.37%; test acc: 70.27%
epcoh: 10; train acc: 89.16%; test acc: 70.27%
epcoh: 11; train acc: 90.98%; test acc: 70.55%
epcoh: 12; train acc: 91.96%; test acc: 70.82%
epcoh: 13; train acc: 93.61%; test acc: 71.73%
epcoh: 14; train acc: 95.20%; test acc: 72.18%
epcoh: 15; train acc: 94.75%; test acc: 71.82%
epcoh: 16; train acc: 95.91%; test acc: 73.27%
epcoh: 17; train acc: 95.36%; test acc: 73.55%
epcoh: 18; train acc: 96.26%; test acc: 72.91%
epcoh: 19; train acc: 96.90%; test acc: 73.36%
epcoh: 20; train acc: 96.81%; test acc: 72.82%
epcoh: 21; train acc: 96.74%; test acc: 72.27%
epcoh: 22; train acc: 97.14%; test acc: 74.27%
epcoh: 23; train acc: 97.41%; test acc: 71.91%
epcoh: 24; train acc: 97.86%; test acc: 72.64%
epcoh: 25; train acc: 97.65%; test acc: 74.64%
epcoh: 26; train acc: 98.06%; test acc: 72.91%
epcoh: 27; train acc: 98.12%; test acc: 73.00%
epcoh: 28; train acc: 97.92%; test acc: 74.27%
epcoh: 29; train acc: 98.37%; test acc: 73.82%
epcoh: 30; train acc: 98.37%; test acc: 73.91%
