2024-11-13 05:06:06 :epcoh: 1; train acc: 31.91%; test acc: 30.27%
2024-11-13 05:07:44 :epcoh: 2; train acc: 40.16%; test acc: 39.36%
2024-11-13 05:09:43 :epcoh: 3; train acc: 50.07%; test acc: 49.00%
2024-11-13 05:11:33 :epcoh: 4; train acc: 54.23%; test acc: 50.73%
2024-11-13 05:13:07 :epcoh: 5; train acc: 64.69%; test acc: 59.00%
2024-11-13 05:14:26 :epcoh: 6; train acc: 70.23%; test acc: 61.00%
2024-11-13 05:15:43 :epcoh: 7; train acc: 72.86%; test acc: 62.45%
2024-11-13 05:16:58 :epcoh: 8; train acc: 78.19%; test acc: 66.36%
2024-11-13 05:18:15 :epcoh: 9; train acc: 81.39%; test acc: 67.00%
2024-11-13 05:19:37 :epcoh: 10; train acc: 84.27%; test acc: 69.91%
2024-11-13 05:21:32 :epcoh: 11; train acc: 86.07%; test acc: 69.36%
2024-11-13 05:23:24 :epcoh: 12; train acc: 88.35%; test acc: 70.82%
2024-11-13 05:24:47 :epcoh: 13; train acc: 90.62%; test acc: 70.55%
2024-11-13 05:26:01 :epcoh: 14; train acc: 91.69%; test acc: 72.82%
2024-11-13 05:27:46 :epcoh: 15; train acc: 92.74%; test acc: 71.55%
2024-11-13 05:29:29 :epcoh: 16; train acc: 93.37%; test acc: 71.82%
2024-11-13 05:31:27 :epcoh: 17; train acc: 94.60%; test acc: 73.36%
2024-11-13 05:32:51 :epcoh: 18; train acc: 95.45%; test acc: 74.09%
2024-11-13 05:34:14 :epcoh: 19; train acc: 95.62%; test acc: 71.73%
2024-11-13 05:35:39 :epcoh: 20; train acc: 95.93%; test acc: 71.91%
2024-11-13 05:37:08 :epcoh: 21; train acc: 96.08%; test acc: 73.36%
2024-11-13 05:38:36 :epcoh: 22; train acc: 96.96%; test acc: 73.64%
2024-11-13 05:40:12 :epcoh: 23; train acc: 97.35%; test acc: 73.36%
2024-11-13 05:41:57 :epcoh: 24; train acc: 97.02%; test acc: 71.82%
2024-11-13 05:43:25 :epcoh: 25; train acc: 97.39%; test acc: 72.73%
2024-11-13 05:44:45 :epcoh: 26; train acc: 97.27%; test acc: 72.55%
2024-11-13 05:45:54 :epcoh: 27; train acc: 97.75%; test acc: 73.91%
2024-11-13 05:47:01 :epcoh: 28; train acc: 97.75%; test acc: 73.82%
2024-11-13 05:48:10 :epcoh: 29; train acc: 97.66%; test acc: 73.82%
2024-11-13 05:49:20 :epcoh: 30; train acc: 97.85%; test acc: 73.64%
2024-11-13 05:50:28 :epcoh: 31; train acc: 98.08%; test acc: 73.18%
2024-11-13 05:51:50 :epcoh: 32; train acc: 97.99%; test acc: 73.82%
2024-11-13 05:53:16 :epcoh: 33; train acc: 98.35%; test acc: 74.27%
2024-11-13 05:54:51 :epcoh: 34; train acc: 98.30%; test acc: 72.64%
2024-11-13 05:56:41 :epcoh: 35; train acc: 98.33%; test acc: 73.82%
